University of Free State;Faculty;Qualification;Year;Modules;Module Code;SAQA credits;Description
University of Free State;Faculty of Natural and Agricultural Sciences;BACHELOR OF ARCHITECTURE;1st year;"Design
Construction
Histories and Theories of Architecture
Presentation Techniques
Trigonometrical Drawing
Photography";"DESN1500
CONS1506
HTRC1506/HARC1506
PTEC1504
TRIG1512 
PHOT1522";NQF EXIT LEVEL 7 & 8;"The Bachelor of Architecture involves full-time education that extends over six semesters and involves lectures, projects,
and continuous assessment.
The purpose of this programme is to educate students who may register in the appropriate category for which they qualify
with the South African Council for the Architectural Profession in terms of the provisions of the Architectural Profession Act
44 of 2000. The degree BArch provides access to the BArchHons degree.
Students are strongly advised to work in an architect’s office or other approved similar institution during holidays in order to
gain practical experience.
The assessments and examinations for the degree BArch are recognised by the minister concerned in terms of the
provisions of the Architectural Profession Act (Act 44 of 2000). Training experience after completion of the BArch degree
will be controlled by the conditions of the South African Council for the Architectural Profession. The registrar of this Council
will provide information in this regard."
null;null;null;2nd Year;"Design
Construction
Histories and Theories of Architecture
Computer Draughting";"DESN2600
CONS2600
HTRC2606
CDRA2604";null;null
null;null;null;3rd Year;"Design
Construction
Histories and Theories of Architecture
Building Contracts Law
Building
Contracts Law";"DESN3700
CONS3700
HTRC3706
BCCR3712
BCCR3722";null;null
null;null;MANAGEMENT SPECIALISATION;null;null;null;null;"The objective of the degree and different learning programmes is to train students to apply agricultural knowledge practically on farm level as well as in agriculturally-related organisations.
The BAgric qualification will allow persons to apply their knowledge in the fields of resource utilisation, agricultural production, processing, management and communication.
Learning programmes in this Field of study offer seven options. These learning programmes will lead to one of the following qualifications: BAgric, Agricultural Extension, Agricultural
Management, Animal Production, Crop Production with specialisation in either field crops or horticulture, Irrigation Management, and. The table below indicates the combinations for the
different qualifications. Each student includes all the compulsory modules (row C1, C2 and C3) from the prescribed disciplines for all three study years. Students must select sufficient
other modules from their own electives (E) to obtain a total of at least 120 credits for each of the first, the second and the third year of study. Two modules at any NQF level can be
replaced by any approved modules in the CESM categories for the SAQA approved qualification. This modules must have the same NQF-level as well as enough credits to meet the
minimum credits for the degree."
null;null;AGRICULTURAL EXTENSION;1st Year;null;"AGRI1514
AGRI1534
AGRI1554
AGEC1514
CSIL1511
UFSS1504
*EALN1508 or AGAN1508

AGRI1624
AGRI1664
SCCS1624
ANIG1624";null;null
null;null;null;2nd Year;null;"AGEX2614
CROP2614
ANIG2613+ANIG2602
ONE OF:
SOIL2674
GRAS2614

AGEX2624
ANIG2623+ANIG2602
SCCS2624
ONE OF:
SCCS2684
WDMT2624";null;null
null;null;null;3rd Year;null;"AGEX3714
AGEX3734
AGEX3754
ONE OF:
ANIG3713+ANIG3702
ANIG3754
CROP3754
SOIL3774

SECOND
AGEX3724
AGEX3744
AGEX3764
ONE OF:
ANIG3723+ANIG3702
CROP3764
GRAS3763
SOIL3744
WDMT3723";null;null
null;null;AGRICULTURAL MANAGEMENT;1st Year;null;"AGRI1514
AGRI1534
AGRI1554
AGEC1514

AGRI1624
AGRI1664
SCCS1624
ANIG1624";null;null
null;null;null;2nd Year;null;"AGEC1634
AGEC2614
CROP2614
ANIG2613+ANIG2602

AGEC1624
AGEC2624
TWO OF:
SCCS2624
AGEX2624
ANIG2623+ANIG2602";null;null
null;null;null;3rd Year;null;"FIRST
AGMA3714
AGMA3734
TWO OF:
ANIG3713+ANIG3702
ANIG3754
CROP3754

AGMA3724
AGMA3744
AGMA3762
ONE OF:
CROP3764
ANIG3723+ANIG3702
CLIM3764";null;null
null;null;"ANIMAL PRODUCTION
MANAGEMENT";1st Year;null;"AGRI1514
AGRI1534
AGRI1554
AGEC1514

AGRI1624
AGRI1664
SCCS1624
ANIG1624";null;null
null;null;null;2nd Year;null;"AGEC2614
ANIG2613+ANIG2602
GRAS2614
ONE OF:
AGEX2614
CROP2614
SOIL2674

AGEC1624
WDMT2624
ANIG2623+ANIG2602
ONE OF:
AGEX2624
AGEC2624";null;null
null;null;null;3rd Year;null;"ANIG3713+ANIG3702
ANIG3754
TWO OF:
AGMA3714
AGMA3734
AGEX3714
AGEX3734
AGEX3754

ANIG3723+ANIG3702
AGMA3762
GRAS3763
WDMT3723
ONE OF:
AGMA3724
AGMA3744
AGEX3724
AGEX3744
AGEX3764";null;null
null;null;IRRIGATION MANAGEMENT;1st Year;null;"AGRI1514
AGRI1534
AGRI1554
AGEC1514
CSIL1511
UFSS1504
*EALN1508 or AGAN1508

AGRI1624
AGRI1664
SCCS1624
ANIG1624
CSIL1521";null;null
null;null;null;2nd Year;null;"CROP2614
SOIL2674
AGEC2614
CLIM2614

SCCS2624
SCCS2684
AGEC1624
AGEG2624";null;null
null;null;null;3rd Year;null;"AGMA3714
SOIL3774
AGEG3714
ONE OF:
AGMA3734
HORT3734
HORT3754/3714

HORT3724
CLIM3764
AGEG3724
AGMA3762
ONE OF:
AGMA3724
AGMA3744";null;null
null;null;MIXED FARMING;1st Year;null;"AGRI1514
AGRI1534
AGRI1554
AGEC1514

AGRI1624
AGRI1664
SCCS1624
ANIG1624";null;null
null;null;null;2nd Year;null;"ONE OF:
CROP2614
SOIL2674
ONE OF:
ANIG2613+ANIG2602
GRAS2614
ELECTIVES (ANY
TWO MODULES NOT
TAKEN YET)
AGEC2614
AGEX2614
CLIM2614

AGEC1624
SCCS2624
TWO OF:
AGEX2624
ANIG2623+ANIG2602
SCCS2684
AGEG2624";null;null
null;null;null;3rd Year;null;"FOUR OF:
ANIG3713+ANIG3702
ANIG3754
AGMA3714
AGMA3734
HORT3754
HORT3734
CROP3754
SOIL3774

FOUR OF:
ANIG3723
AGMA3724+AGMA3762
AGMA3744+AGMA3762
AGEG3724
CLIM3764
CROP3764
HORT3724
SOIL3744";null;null
null;null;CROP PRODUCTION;1st Year;null;"AGRI1514
AGRI1534
AGRI1554
AGEC1514

AGRI1624
AGRI1664
SCCS1624
ANIG1624";null;null
null;null;null;2nd Year;null;"SOIL2674
CROP2614
CLIM2614
ENTO2614

SCCS2624
SCCS2684
AGEG2624
PLPG2623";null;null
null;null;null;3rd Year;null;"FIELD CROPS HORTICULTURE FIELD CROPS HORTICULTURE
CROP3754
SOIL3774
TWO OF:
AGMA3714


AGEG3714
HORT3754
HORT3754/3714
SOIL3774
HORT3734
AGEG3714

CROP3764
SOIL3744
CLIM3764
ONE OF:
AGMA3724 +
AGMA3762
AGMA3744 +
AGMA3762
AGEG3724
AGEG3724
HORT3724
SOIL3744
ONE OF:
AGMA3724 +
AGMA3762
AGMA3724 +
AGMA3762
CROP3764
CLIM3764";null;null
