University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
university of Western Cape;Faculty Of Natural Sciences;BPharm (N) (3305);1;INTRODUCTION TO AFRIKAANS (SC);AFR002 ;null;" Listening exercises would be done to expose students to 
Afrikaans. Situations that would be covered in the first term 
include: forms of greeting, their personal life, family life and 
campus life.
 Students should also acquire basic speaking skills based 
on the work done in the first term as well as other related 
contexts. Elementary written exercises will be introduced 
at this stage.
In the second semester students will be exposed to more 
sophisticated language structured around selected themes 
such as violence, the constitution, AIDS, famous figures, 
etc.
 Listening, reading, speaking and writing skills will be 
developed"
null;null;null;null;CHEMISTRY 114 (N) ;CHE114;null;" Basic concepts of chemistry 
 Atoms, molecules and ions
Chemical reactions 
 Quantitative information about chemical reactions 
(Stoichiometry)
 Energy and chemical reactions 
 Atomic structure and periodic trends 
 Bonding and molecular structure 
 Gases and their properties"
null;null;null;null;CHEMISTRY 124 (N;"	CHE124";null;" Introductory concepts in Organic Chemistry, including 
nomenclature, physical properties, and representation of 
structure of: alkanes, alkenes, alkynes, alkyl halides, 
alcohols, aldehydes and ketones, and carboxylic acids and 
their derivatives
 An introduction to reactivity w ith reference to substitution, 
addition, elimination and oxidation of organic substrates.
 An introduction to isomerism w ith reference to geometric, 
cis-trans, E,Z and R,S isomers/enatiomers.
 An introduction to stability w ith reference to ring strain, and 
the relative stabilities of alkenes and carboniumions. 
An introduction to organic reaction mechanisms.
An introduction to carbohydrates, lipids and proteins
 An introduction to polymer chemistry
"
null;null;null;null;HUMAN BIOLOGY 113 ;"	HUB113 ";null;"The main chemical compounds, nutrition and cellular 
metabolism
An introduction of the anatomy and physiology of the 
digestive system.
Essentials of early human development.
Essentials of the histology of tissue types.
Gross anatomy and basic physiology of the skeletal and 
muscle systems. Articulations/joints and movement."
null;null;null;null;HUMAN BIOLOGY 123;HUB123 ;null;"The scope of human biology and functional organisation 
of the body.
Homeostasis, human diseases and disease forming 
organisms.
Review of cellular organisation and functions of cellular 
components.
An introduction to the anatomy my and physiology of the 
nervous, cardiovascular, respiratory, urinary, endocrine 
and reproductive systems"
null;null;null;null;MATHEMATICS 115 (N)  ;MAM115;null;"Functions and limits
differentiation
curve sketching and applications of differentiation
integration"
null;null;null;null;        INTRODUCTION TO PHARMACY 116;PHA116 ;null;" Introduction to the Pharmacy profession in the South 
African context.
Primary Health Care.
Role of the pharmacist in terms of the 7 star concept.
Medical & Pharmaceutical terminology.
Basic computer and information literacy"
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY123;PHC123 ;null;" Medical Microbiology
The science of microbiology w ith emphasis on the 
identification of major groups
 Basic morphology & physiology of bacteria, viruses & fungi
Basic bacterial genetics to understand resistance
Host defenses against infections. 
Immunological basis of vaccination
Basic principles of pathology: Inflammation; Cell injury; 
Environmental and nutritional pathology; Haemodynamics; 
Circulatory disorders; Granulomatous diseases; Growth 
disorders; Neoplasia.
Introduction to Pharmacology Overview
 Drug nomenclature 
Pharmacodynamics
Definitions
Drug-receptor concepts Pharmacokinetics 
Definitions
ADME 
Drug administration and dosage forms
Introduction to drug receptor action w ithin the Autonomic 
Nervous System"
null;null;null;null;INTRODUCTORY PHYSICS FOR PHARMACIST ;PHY112;null;" An introductory appreciation of science as a way of 
knowing.
 An introduction to vectors: representation, adding, 
subtracting, scalar product, vector product
Equilibrium of a rigid body: Newton’s Laws, first condition 
of equilibrium, friction, second condition of 
equilibrium (moment of a force / torque); Energy (WorkEnergy theorem; machines and efficiency)
Elasticity: stress, strain and Young’s modulus. 
Hydrostatics: pressure in a fluid, buoyancy, flotation, 
Pascal’s principle, Archimedes’ principle, Bernoulli’s 
principle.
Atomic physics: Atoms, molecules, compounds and 
mixtures; atomic structure; models of the atom and 
atomic spectra; quantization of energy levels and Louis 
de Broglie matter waves.
Radioactivity: Radiation and effects of radiation on 
humans; radioactive isotopes and carbon dating. Electricity: Coulomb’s law, electric field, electrical 
potential energy, capacitors and dielectrics, simple 
circuits. 
Relevant applications to pharmacy will be discussed."
null;null;null;null;INTRODUCTION TO XHOSA;XHO002;null;"Greeting. Getting acquainted.
Weather 
Health, particularly pertaining to the interaction between 
health worker and patient.
Family, including kinship terms and identification of people. Questions, requests, commands and suggestions with 
particular emphasis on appropriate structures within the 
health sector."
null;null;null;null;BIOMOLECULES (FOR PHARMACY) 217;BTN217;null;"Introduction to different classes of biomolecules (nucleic 
acids, proteins, lipids, carbohydrates), and their 
interactions.
The energetics of life
DNA structure and function
Enzymes as biocatalysts
Carbohydrate metabolism"
null;null;null;null;PHARMACEUTICS 231 ;"PCE231 	";null;"
The language of Pharmaceutics:
Introduction
Reference usage
Manufacturing legislation Physicochemical properties-
Liquid state:
Solutions and solubility Surface and interfacial phenomena
Solid state:
Polymorphism
Unit processes:
Communition
Compounding"
null;null;null;null;PHARMACEUTICS 232;"	PCE232";null;" Disperse systems:
Colloidal
Suspensions
Emulsions
Rheology and Viscosity
Particle size analysis
Unit processes:
Mixing
Granulation and formulation for tableting
Compounding"
null;null;null;null;PHARMACEUTICAL CHEMISTRY 232 ;PCH232 ;null;"Plants of pharmaceutical importance: Evaluation and 
quality assurance of herbal medicines, selected 
chromatographic techniques and phytochemicals.
Stereochemistry: The study of the three-dimensional 
structure of molecules and drugs.
Practical work: Assay and analysis of phytochemicals. 
Computer-based stereochemical practicals.
"
null;null;null;null;PHARMACEUTICAL CHEMISTRY 233  ;PCH233;null;"Theory and principles of quality control.
Methods of quality control, including: Complexometric 
titrations and Spectrophotometric techniques (Ultra violet-, 
Infra-red- and Atomic spectroscopy). Advanced analytical methods, including: Gas 
chromatography; High-performance liquid chromatography; 
Nuclear magnetic resonance spectroscopy and Mass 
spectroscopy
Practical work: Laboratory techniques; methods of analysis.
"
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY213 ;PHC213;null;"Qualitative Pharmacokinetics
Concepts of pharmacotherapy
Drugs affecting peripheral nervous system.
Drugs affecting the respiratory system
Inflammation & Autacoids.
Concepts in Clinical Pharmacy
Pharmaceutical care
History-taking
Rational drug use (concept and process)
Record-keeping
Laboratory data
Dermatology I Dermatitis
Urticaria
Drug eruptions
Pruritis
Acne
Fungal skin infections
Practicals
Computer Simulation Pharmacology Practical Sessions"
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY223 ;PHC223;null;"Immunopharmacology 
Analgesics and anti-inflammatories
Drugs used in gout
ENT conditions (allergic rhinitis, otitis media /externa)
Drugs affecting the gastro-intestinal system
Oral cavity (ulcers, gingivitis, herpes)
Pregnancy and infant care
Immunisation & childhood illnesses
Family planning
Urinogenital system diseases HIV & TB  Vitamins
Case Study Laboratories:
PBLs for Primary health care 
Experiential learning:
Service learning in Primary Health care clinics: Maternal 
and child health.
"
null;null;null;null;PHARMACY PRACTICE 214  ;PPR214 ;null;"Philosophies of pharmacy practice 
Relevant policy and legislation
Standards and procedures in practice"
null;null;null;null;PHARMACY PRACTICE 224 ;"	PPR224";null;"The Medicines and Related Substances Act 101 0f 1965
Control of the sale of medicines (Section 22A)
Validity of prescriptions
Label, PILs, package insert
Medicine pricing
introduction to medicine classification (Schedules)
Generic substitution
Drug supply management (including Stock 
management) 
Procurement cycle
Information management
Physical stock handling principles
Standard Operating Procedures
Dispensing practice according to GPP"
null;null;null;null;PHARMACEUTICS 331;PCE331 ;null;"Introduction to pharmaceutical technology
Tablets and tableting
Filtration and extractions
Heat transfer, evaporation and drying
Distillation
Medicine registration
Principles of Good Manufacturing Practices"
null;null;null;null;PHARMACEUTICS 333;PCE333 ;null;"Sterilisation &Sterility testing
Anti-microbial limitation or destruction- preservatives 
antiseptics and disinfectantsSources of microbial contamination Selection and use of antimicrobials
Pharmaceutical application of microbiological 
techniques
Pyrogens
Antibiotic manufacture
Biological assays
Kinetics
Surgical dressings
Waste disposal and environmental health care
Practical work "
null;null;null;null;PHARMACEUTICAL CHEMISTRY 312;PCH312 ;null;"Drug discovery and design of molecules that may exert 
an effect on the function and survival of living cells. 
Organic chemistry of drug receptor-, drug enzyme 
interactions and metabolic reactions.  Prodrugs and drug delivery systems.
 Synthesis, design, molecular mechanism of action, 
physico-chemical properties and structure-activity 
relationships of selected drugs, including: 
 Anesthetics; Sedative-hypnotics; Antiseizure agents; 
Antipsychotic agents; Opioid Analgesics; 
Antiparkinsonian agents and Radiopharmaceuticals.
Practical work: 
Synthesis and characterisation of selected drugs. Case 
studies and tutorials"
null;null;null;null;PHARMACEUTICAL CHEMISTRY 322  ;PCH322;null;"Synthesis, design, physicochemical properties, 
structure-activity relationships and molecular 
mechanism of action of selected drugs, including: 
Antihistamines; Steroidal drugs and Chemotherapeutic 
agents.
Case studies and tutorials"
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY323;PHC323;null;"Drugs acting on endocrine system
Hormones of the pituitary and thyroid glands
Pancreatic hormones and anti-diabetic drugs
Adrenalcorticosteroids and adrenocorticol antagonists
The gonadal hormones and inhibitors
Agents that affect bone mineral homeostasis
CNS pharmacology:
General and Local anaesthetics
Anxiolytic and hypnotic drugs
Anti-depressant drugs
Neuroleptic drugs (anti-psychotic agents)
Drugs used in Parkinson’s disease
 Anticonvulsants
Quantitative pharmacokinetics
Therapeutic Drug Monitoring
Clinical pharmacy concepts:
Antimicrobial stewardship
Evidence-based medicine
Medicine use evaluations
Case study laboratories"
null;null;null;null;PHARMACY PRACTICE 314;PPR314 ;null;"On completion of this module students should be able to:
Describe the scope of services offered at pharmacy 
settings for which pharmacists may charge fees.
 Describe and apply the applicable fee structure for 
services.
Describe the limitations imposed on the advertising of 
medicines and services by the relevant legislation.
Critically evaluate medicine advertisements.
Describe various communication styles and identify how 
to adopt these in a specific patient encounter or interprofessional encounter.
Demonstrate the ability to interact with individual patients 
and recognise specific counselling needs with particular 
reference to adherence.
Describe factors affecting patient behaviour.
Analyse and advise on the general principles relating to 
responsible self-medication.
Differentiate between ethics, morality and ethical 
theories, principles and actions.
 Demonstrate the ability to reflect, plan, implement and 
evaluate experiential learning in SLIP and other practice 
sites and record these in an ePortfolio.
Demonstrate an understanding of the professional 
obligation of pharmacists to communities. 
Apply professional expertise and skill to initiate 
pharmaceutical and therapeutic care in line with 
community needs.
Translate all of the above outcomes in terms of WHO 7-
Star pharmacist"
null;null;null;null;"	PHARMACY PRACTICE 324";PPR324;null;"Human Resources Management
Marketing & business practice
Pharmacy Act No 53 of 1974
 SAPC role: conduct and disciplinary procedures
 Licensing of premises
Medicines and related substances Act
 Registration of medicines
 Dossiers
Section 21 items
Community-centred pharmacist initiated therapy
Service Learning in Pharmacy
"
null;null;null;null;PHARMACEUTICS 401;PCE401;null;"Recent developments in pre-formulation, formulation, and 
manufacture from currently published pharmaceutics 
literature. "
null;null;null;null;"	PHARMACY431";PCE431;null;" Pharmaceutical Preformulation
Drug delivery systems:
mmediate, modified and novel dosage forms Packages and packaging
Veterinary pharmaceutical delivery systems"
null;null;null;null;PHARMACEUTICAL CHEMISTRY 402;"	PCH402 ";null;"Advanced Drug Design principles including:
New approaches to drug discovery.
Drug target identification, validation and assay 
development.
Advanced QSAR and ADME prediction models
Computer-aided drug design. 
Drug synthesis and reactions.
Advanced structural elucidation utilizing sophisticated 
analytical techniques, including: NMR; MS; IR and HPLC.
Combinational-, microwave- and green chemistry"
null;null;null;null;PHARMACY 408;"	PHA408";null;"Research methods Introduction
Structure of a research proposal
Aspects of basic research
Research project"
null;null;null;null;PHARMACY 426;PHA426 ;null;"Principles of pharmaceutical biotechnology, including:
Recombinant DNA Technology and Therapeutic Agents
Polymerase Chain Reaction
Gene Therapy
Antisense Therapeutic Agents
Monoclonal Antibodies and Therapeutic Agents Protein and Peptide Drugs
 Principles of biopharmaceuticals, including:
 Concepts and definitions of biopharmaceutics.
GIT physiology and drug absorption: Physiological factors 
influencing oral drug absorption, transit of medicines in the 
GIT and barriers to absorption.
Bioavailability: physicochemical, physiological, drug and 
dosage form factors.
Biopharmaceutical property assessment.
Biopharmaceutics Classification System (BCS).
Dosage regimens.
Bioavailability considerations of modified release & targeted 
delivery.
"
null;null;null;null;PHARMACY 427;PHA427;null;"Preclinical trials: 
Types of preclinical studies
Pharmacokinetic studies
Pharmacodynamic studies Animal studies: toxicity & safety
Clinical trials  Introduction to Good Clinical Practice: ethical, legal and 
regulatory issues in clinical research
Phases of clinical trials
Types of clinical trials
Pharmaco-epidemiology 
Introduction
Post marketing surveillance
 Information and data management in clinical research"
null;null;null;null;"	PHARMACOLOGY & CLINICAL PHARMACY403";PHC403;null;" Bedside teaching and learning: consult with patient, 
obtain medication history, record and interpret clinical 
and laboratory data, compile evidence base to assess 
drug treatment options. 
 Chronic care (clinics/ clubs): Address patient concerns 
on chronic medicine use, identify social issues impacting 
on treatment adherence, promote health and wellness"
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY405;PHC405;null;" Bedside teaching and learning: consult with patient, 
obtain medication history, record and interpret clinical 
and laboratory data, compile evidence base to assess 
drug treatment options. 
Chronic care (clinics/ clubs): Address patient concerns 
on chronic medicine use, identify social issues impacting 
on treatment adherence, promote health and wellnes"
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY405;PHC405;null;null
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY405;"	PHC423 ";null;null
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY424;PHC424;null;null
null;null;null;null;PHARMACOLOGY & CLINICAL PHARMACY425;PHC425;null;null
null;null;null;null;PHARMACY PRACTICE 404 ;PPR404;null;null
null;null;null;null;PHARMACY PRACTICE 414 ;PPR414;null;null
null;null;null;null;PHARMACY PRACTICE 414 ;PPR434;null;null
null;null;null;null;PHARMACY PRACTICE 434;PPR434;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Applied Geology (3011);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;MATHEMATICS 151 (SF);MAM151;null;null
null;null;null;null;PHYSICS 151 (SF);PHY151;null;null
null;null;null;2;CHEMISTRY 116 (N);CHE116;null;null
null;null;null;null;CHEMISTRY 126 (N);CHM126;null;null
null;null;null;null;EARTH SCIENCE 111;ESC111;null;null
null;null;null;null;EARTH SCIENCE 121;ESC121;null;null
null;null;null;null;PHYSICS 152 (SF);PHY152;null;null
null;null;null;3;GEOLOGY 231;APG231;null;null
null;null;null;null;GEOLOGY 232;APG232;null;null
null;null;null;null;GEOLOGY 233;APG233;null;null
null;null;null;null;CHEMISTRY 211;CHM211;null;null
null;null;null;null;CHEMISTRY 212;CHM212;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 211;EWP211;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 221;EWP221;null;null
null;null;null;4;GEOLOGY 311;APG311;null;null
null;null;null;null;GEOLOGY 312;APG312;null;null
null;null;null;null;GEOLOGY 321;APG321;null;null
null;null;null;null;GEOLOGY 322;APG322;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Biodiversity & Conservation Biology (3015);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;LIFE SCIENCES 151 (SF);LFS151;null;null
null;null;null;null;INTRODUCTION TO MATHEMATICS;MAM150;null;null
null;null;null;2;CHEMISTRY 116 (N);CHE116;null;null
null;null;null;null;CHEMISTRY 126 (N);CHM126;null;null
null;null;null;null;EARTH SCIENCE 111;ESC111;null;null
null;null;null;null;EARTH SCIENCE 121;ESC121;null;null
null;null;null;null;LIFE SCIENCES 152 (SF);LFS152;null;null
null;null;null;null;STATISTICS 151 (SF);STA151;null;null
null;null;null;3;BIODIVERSITY & CONSERVATION 211;BDC211;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 221;BDC221;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 222;BDC222;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 223;BDC223;null;null
null;null;null;null;CHEMISTRY 211;CHM211;null;null
null;null;null;null;CHEMISTRY 212;CHM212;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 211;EWP211;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 221;EWP221;null;null
null;null;null;4;BIODIVERSITY & CONSERVATION 332;BDC332;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 333;BDC333;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 334;BDC334;null;null
null;null;null;null;BIODIVERSITY & CONSERVATION 335;BDC335;null;null
null;null;null;null;ENVIRONMENTAL & WATER SCIENCE 321;EWP321;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Biotechnology (3007);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;LIFE SCIENCES 151 (SF);LFS151;null;null
null;null;null;null;INTRODUCTION TO MATHEMATICS;MAM150;null;null
null;null;null;2;CHEMISTRY 116 (N);CHE116;null;null
null;null;null;null;CHEMISTRY 126 (N);CHM126;null;null
null;null;null;null;LIFE SCIENCES 152 (SF);LFS152;null;null
null;null;null;null;STATISTICS 151 (SF);STA151;null;null
null;null;null;3;BIOTECHNOLOGY 211;BTN211;null;null
null;null;null;null;BIOTECHNOLOGY 213;BTN213;null;null
null;null;null;null;BIOTECHNOLOGY 215;BTN215;null;null
null;null;null;null;BIOTECHNOLOGY 218;BTN218;null;null
null;null;null;null;BIOTECHNOLOGY 222;BTN222;null;null
null;null;null;null;BIOCHEMISTRY I 223;BTN223;null;null
null;null;null;null;CHEMISTRY 211;CHM211;null;null
null;null;null;null;CHEMISTRY 212;CHM212;null;null
null;null;null;4;BIOTECHNOLOGY 312;BTN312;null;null
null;null;null;null;BIOTECHNOLOGY 315;BTN315;null;null
null;null;null;null;BIOTECHNOLOGY 316;BTN316;null;null
null;null;null;null;BIOTECHNOLOGY 322;BTN322;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Chemical Sciences (3019);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;MATHEMATICS 151 (SF);MAM151;null;null
null;null;null;null;PHYSICS 151 (SF);PHY151;null;null
null;null;null;2;CHEMISTRY 114 (N);CHE114;null;null
null;null;null;null;CHEMISTRY 124 (N);CHE124;null;null
null;null;null;null;MATHEMATICS 152 (SF);MAM152;null;null
null;null;null;null;PHYSICS 152 (SF);PHY152;null;null
null;null;null;3;CHEMISTRY 211;CHM211;null;null
null;null;null;null;CHEMISTRY 212;CHM212;null;null
null;null;null;null;CHEMISTRY 221;CHM221;null;null
null;null;null;null;MATHEMATICS 211;MAT211;null;null
null;null;null;null;MATHEMATICS 212;MAT212;null;null
null;null;null;null;MATHEMATICS 221;MAT221;null;null
null;null;null;null;PHYSICS 212;PHY212;null;null
null;null;null;null;PHYSICS 217;PHY217;null;null
null;null;null;null;PHYSICS 222;PHY222;null;null
null;null;null;null;PHYSICS 227;PHY227;null;null
null;null;null;4;CHEMISTRY 311;CHM311;null;null
null;null;null;null;CHEMISTRY 312;CHM312;null;null
null;null;null;null;CHEMISTRY 321;CHM321;null;null
null;null;null;null;CHEMISTRY 322;CHM322;null;null
null;null;null;null;null;null;null;null
null;null;BSc (4 YR) Computer Science (3023);1;INTRODUCTION TO SCIENCE 153 (SF);ISC153;null;null
null;null;null;null;MATHEMATICS 151 (SF);MAM151;null;null
null;null;null;null;PHYSICS 151 (SF);PHY151;null;null
null;null;null;2;MATHEMATICS 112;APM112;null;null
null;null;null;null;APPLIED MATHEMATICS 123;APM123;null;null
null;null;null;null;COMPUTER SCIENCE 101;COS101;null;null
null;null;null;null;INFORMATION SYSTEMS 131;IFS131;null;null
null;null;null;null;INFORMATION SYSTEMS 132;IFS132;null;null
null;null;null;null;MATHEMATICS 152 (SF);MAM152;null;null
null;null;null;null;PHYSICS 152 (SF);PHY152;null;null
null;null;null;null;STATISTICS 151 (SF);STA151;null;null
null;null;null;3;COMPUTER SCIENCE 211;CSC211;null;null
null;null;null;null;COMPUTER SCIENCE 212;CSC212;null;null
null;null;null;null;INFORMATION SYSTEMS 231;IFS231;null;null
null;null;null;null;INFORMATION SYSTEMS 233;IFS233;null;null
null;null;null;null;MATHEMATICS 211;MAT211;null;null
null;null;null;null;MATHEMATICS 212;MAT212;null;null
null;null;null;null;MATHEMATICS 221;MAT221;null;null
