UNIVERSITY;Faculty ;"Qualification
offered";Year;Modules;Moudle code;SAQA Credits;Description
Vaal University of Technology;Faculty of applied and Computer science;DIPLOMA: BIOTECHNOLOGY;1;"Semester 1
Microbiology I (Practical and Theory)
Chemistry I
Biodiversity and Ecology
Calculations & Statistics I
Applied Communication Skills 1 (Model 1)
Semester 2 
Microbiology II (Practical and Theory)
Biochemistry II (Practical and Theory)
Analytical Chemistry: Biological II
Disease & Immune Response II
Applied Communication Skills 1 (Module II)
ICT Skills I";null; NQF level 6;"The function of a microbiologist/biotechnologist
is quality control in enterprises such as the following: water purification 
plants, food processing factories, dairies, pharmaceutical factories, sewerage plants, etc. Liaise with chemical engineers and technicians in the 
fermentation and biotechnology industries."
null;null;null;2;"Semester 3
Microbiology III (Practical and Theory)
Introductory Genetics II
Microbial Biochemistry III (Practical and Theory)
Fermentation Technology II (Practical and Theory)
Applied Communication Skills II (Module I)
Semester 4 
Food Microbiology III (Practical and Theory)
Analytical Biochemistry III
Quality Assurance I (Biological)
Bioprocessing III (Practical and Theory)
Applied Communication Skills II (Module II)
Entrepreneurship";null;null;null
null;null;null;3;"Semester 5
Biotechnology Laboratory Practice I
Semester 6
Biotechnology Laboratory Practice II";null;null;null
null;null;DIPLOMA: ANALYTICAL CHEMISTRY;1;"Semester 1
Chemistry I 
Physics I Applied
Mathematics 1 Applied 
Applied Communication skills I
ICT skills I
Semester 2 
Analytical Chemistry I 
Analytical Chemistry Practical I 
Inorganic Chemistry II
Mathematics II
Organic Chemistry II";null;"t NQF level 6 
360 credit qualification.";"The function of  an Analytical Chemistry Technician is analysis of samples by the wet methods or using analytical instruments, 
writing reports on analysis, developing methods for analysis, writing 
requisitions for purchasing instrumentation, managing of a laboratory"
null;null;null;2;"Semester 3
Analytical Chemistry II
Analytical Chemistry Practical II
Physical Chemistry II
Organic Chemistry III
Inorganic Chemistry III
Semester 4 
Analytical Chemistry III
Analytical Chemistry Practical III
Physical Chemistry III
Chemical Quality Assurance III";null;null;null
null;null;null;3;"Semester 5
Chemical Process Industries II
Physics Theory II
Physics Practical II
Entrepreneurship I
Applied Communication skills I Module II
Industrial Chemical Analysis I
OR
Chemical Industry Practical I PI
Semester 6
Chemical Project PII or 
Chemical Industry Practical I";null;null;null
null;null;DEGREE: BACHELOR OF HEALTH SCIENCES IN MEDICAL LABORATORY SCIENCES (BHSC: MLS);1;"Semester 1
Human Anatomy, Physiology & Disease I Module I 
Introduction to Medical Laboratory Sciences I Module I 
Health Chemistry I
Health Physics I
Biostatistics I
Semester 2 
Introduction to Medical Laboratory Sciences I Module II
Human Anatomy, Physiology & Disease I Module II
Laboratory Instrumentation and Techniques
Cell Biology I 
Immunology I
Introduction to Medical Laboratory Sciences I Module II";null;" NQF level 6 360 
credit qualification";"
The function of a Medical Laboratory Scientist
Qualified medical laboratory scientists are specialized health professionals who play an integral role in the healthcare of society by 
providing vital information about a patient’s state of health. Their input is necessary 
in the diagnosis, monitoring and treatment of diseases. They diagnose 
chemical, blood, immunologic, tissue, cellular disorders and also the presence of microorganisms that cause diseases. 
They analyze human specimens such as blood, urine, sputum, stool, cerebrospinal fluid (CSF), peritoneal fluid, 
pericardial fluid, and synovial fluid, and more other specimens."
null;null;null;2;"Semester 3
Clinical Chemistry II Module I 
Microbiology II Module I
Haematology II Module I 
Immunohaematology II
Histology II
Semester 4 
Clinical Chemistry II Module II 
Microbiology II Module II 
Hematology II Module II 
Cytology II";null;null;null
null;null;null;3;"Semester 5
Clinical Chemistry III
Microbiology III
Haematology III
Cytology III
Integrative Medical Laboratory Sciences Theory III Module I
Semester 6
Integrative Medical Laboratory Sciences III. Module II(Clinical Practice)
Research Methods II";null;null;null
null;null;null;4;"Semester 7
Research Project IV
Laboratory Management IV 
Semester 8
Clinical Practise (students must choose one from the following specialisation)
Clinical Chemistry IV
Microbiology IV
Haematology IV
Immunohaematology IV
Cytology IV
Histology IV
Immunology IV
Virology IV
Forensic Sciences IV
Pharmacology IV
Cytogenetics IV
Clinical Pathology IV";null;null;null
null;null;"Diploma: Information Technology Specializing in 
Development Software";1;"• Information Systems I
• Systems Software I
• Development Software I
• Programming Logic I
• Accounting Skills I 
• Applied Communication I";null;" NQF level 6 360 
credit qualification";null
null;null;null;2;"• Information Systems II
• Development Software II
• Business Analysis II
• Systems Software II
• Applied Communication II
• IT Law
• Entrepreneurship
";null;null;null
null;null;null;3;"• Development Software III
• Business Analysis III
• Web Development III";null;null;null
null;null;"Diploma: Information Technology Specializing in 
BUSINESS APPLICATIONS";1;"• Information Systems I
• Systems Software I
• Development Software I
• Programming Logic I
• Accounting Skills I
• Applied Communication";null; 120 credits on NQF level 7;null
null;null;null;2;"• Information Systems II
• Development Software II
• Business Analysis II
• Systems Software II
• Web Management II
• Applied Communication II
• IT Law
• Entrepreneurship";null;null;null
null;null;null;3;"• Information Systems III
• Business Analysis III
• Web Development II";null;null;null
null;null;Diploma: Non-Destructive Testing;1;"Semester 1
Chemistry I
Mathematics I
Physics I
Applied Communication Skills I. I
ICT Skills I
Introduction to NDT I (Theory)
Introduction to NDT I (Practical)
Semester 2 
Mathematics II
Physics II (Theory)
Physics II (Practical)
Engineering Drawing I
Penetrant Testing II (Theory)
Penetrant Testing II (Practical)
Radiographic Testing II (Theory)
Radiographic Testing II (Practical)
Applied Communication Skills I. II";null; 120 credits on NQF level 7;null
