University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
Cape Peninsula University of Technology;Faculty of Applied Sciences;Diploma in Agriculture(Extended);1;Extended AGRICULTURAL ECONOMICS& MARKETING 1B;AEM160X;null;null
null;null;null;null;EXTENDED AGRICULTURAL EXTENSION 1;AGT150X;null;null
null;null;null;null;EXTENDED AGRICULTURAL SOIL SCIENCE 1B;ASL160X;null;null
null;null;null;null;EXTENDED CROP PROTECTION 1B;CRO160X;null;null
null;null;null;null;EXTENDED LIVESTOCK PRODUCTION 1;LVP150X;null;null
null;null;null;null;EXTENDED OENOLOGY 1;OEN150X;null;null
null;null;null;null;EXTENDED VEGETABLE PRODUCTION;VPR150X;null;null
null;null;null;2;AGRICULTURAL EXTENSION 2A;AGT260S;null;null
null;null;null;null;BIOMETRY;BID250S;null;null
null;null;null;null;CROP PROTECTION 2;CRO260S;null;null
null;null;null;null;AGRONOMY 2A;AGO260S;null;null
null;null;null;null;ANIMAL NUTRITION;ANN250S;null;null
null;null;null;null;FRUIT PRODUCTION 2A;FON260S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2A;LVP260S;null;null
null;null;null;null;OENOLOGY 2A;OEN260S;null;null
null;null;null;null;VITICULTURE 2A;VIT260S;null;null
null;null;null;null;VITICULTURE 2A;VIT262S;null;null
null;null;null;null;AGRICULTURAL ECONOMICS AND MARKETING 2;AEM260S;null;null
null;null;null;null;AGRICULTURAL ENGINEERING;ALE250S;null;null
null;null;null;null;AGRICULTURAL EXTENSION 2B;AGT261S;null;null
null;null;null;null;AGRONOMY 2B;AGO261S;null;null
null;null;null;null;FRUIT PRODUCTION 2B;FON261S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2B;LVP261S;null;null
null;null;null;null;OENOLOGY 2B;OEN261S;null;null
null;null;null;null;PASTURE SCIENCE;PSS250S;null;null
null;null;null;null;VITICULTURE 2B;VIT261S;null;null
null;null;null;null;VITICULTURE 2B;VIT263S;null;null
null;null;null;3;AGRICULTURAL ENVIRONMENT;ALE360S;null;null
null;null;null;null;AGRICULTURAL LABOUR PRACTICE;LBP360S;null;null
null;null;null;null;AGRICULTURAL MANAGEMEN INF & SYSTEMS;IMD360S;null;null
null;null;null;null;AGRICULTURAL PRACTICE;AGP360S;null;null
null;null;null;null;AGRICULTURAL PRODUCTION;AGD360S;null;null
null;null;null;null;RESEARCH METHODOLOGY: INTRODUCTION;REM350S;null;null
null;null;DIPLOMA IN AGRICULTURE;1;AGRICULTURAL COMPUTER AND NUMERICAL LITERACY;ACN150S;null;null
null;null;null;null;AGRICULTURAL ECONOMICS AND MARKETING 1A;AEM150S;null;null
null;null;null;null;AGRICULTURAL SOIL SCIENCE 1A;ASL150S;null;null
null;null;null;null;CROP PROTECTION 1A;CRO150S;null;null
null;null;null;null;PLANT PRODUCTION;PPD150S;null;null
null;null;null;null;AGRICULTURAL ECONOMICS AND MARKETING 1B;AEM160S;null;null
null;null;null;null;AGRICULTURAL EXTENSION 1;AGT150S;null;null
null;null;null;null;AGRICULTURAL SOIL SCIENCE 1B;ASL160S;null;null
null;null;null;null;CROP PROTECTION 1B;CRO160S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 1;LVP150S;null;null
null;null;null;null;OENOLOGY 1;OEN150S;null;null
null;null;null;null;VEGETABLE PRODUCTION;VPR150S;null;null
null;null;null;2;AGRICULTURAL EXTENSION 2A;AGT260S;null;null
null;null;null;null;BIOMETRY;BID250S;null;null
null;null;null;null;CROP PROTECTION 2;CRO260S;null;null
null;null;null;null;AGRONOMY 2A;AGO260S;null;null
null;null;null;null;ANIMAL NUTRITION;ANN250S;null;null
null;null;null;null;FRUIT PRODUCTION 2A;FON260S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2A;LVP260S;null;null
null;null;null;null;OENOLOGY 2A;OEN260S;null;null
null;null;null;null;VITICULTURE 2A;VIT260S;null;null
null;null;null;null;VITICULTURE 2A;VIT262S;null;null
null;null;null;null;AGRONOMY 2B;AGO261S;null;null
null;null;null;null;FRUIT PRODUCTION 2B;FON261S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2B;LVP261S;null;null
null;null;null;null;OENOLOGY 2B;OEN261S;null;null
null;null;null;null;PASTURE SCIENCE;PSS250S;null;null
null;null;null;null;VITICULTURE 2B;VIT261S;null;null
null;null;null;null;VITICULTURE 2B;VIT263S;null;null
null;null;null;3;AGRICULTURAL ENVIRONMENT;ALE360S;null;null
null;null;null;null;AGRICULTURAL LABOUR PRACTICE;LBP360S;null;null
null;null;null;null;AGRICULTURAL MANAGEMEN INF & SYSTEMS;IMD360S;null;null
null;null;null;null;AGRICULTURAL PRACTICE;AGP360S;null;null
null;null;null;null;AGRICULTURAL PRODUCTION;AGD360S;null;null
null;null;null;null;RESEARCH METHODOLOGY: INTRODUCTION;REM350S;null;null
null;null;DIPLOMA IN AGRICULTURAL MANAGEMENT;1;AGRICULTURAL CALCULATIONS;ACL150S;null;null
null;null;null;null;AGRICULTURAL MARKETING MANAGEMENT 1A;AMM150S;null;null
null;null;null;null;AGRICULTURAL OPERATIONS MANAGEMENT 1A;ASC150S);null;null
null;null;null;null;PLANT PRODUCTION 1;PPO150S;null;null
null;null;null;null;AGRICULTURAL HUMAN RESOURCE MANAGEMENT;AHR160S;null;null
null;null;null;null;AGRICULTURAL MARKETING MANAGEMENT 1B;AMM160S;null;null
null;null;null;null;AGRICULTURAL OPERATIONS MANAGEMENT 1B;AOM160S;null;null
null;null;null;null;AGRICULTURAL SOIL SCIENCE 1B;ASC160S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 1;LSP150S;null;null
null;null;null;2;AGRICULTURAL LAW;AGL260S;null;null
null;null;null;null;AGRICULTURAL PRODUCTION MANAGEMENT;AGR260S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2A;LSP260S;null;null
null;null;null;null;PLANT PRODUCTION 2A;PPO260S;null;null
null;null;null;null;AGRICULTURAL ENGINEERING;AEG250S;null;null
null;null;null;null;AGRICULTURAL MARKETING MANAGEMENT 2;AMM260S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2B;LSP261S;null;null
null;null;null;null;PASTURE SCIENCE;PAF250S;null;null
null;null;null;null;PLANT PRODUCTION 2B;PPO261S;null;null
null;null;null;3;AGRICULTURAL ENVIRONMENT;AGE360S;null;null
null;null;null;null;AGRICULTURAL LABOUR PRACTICE;ALP360S;null;null
null;null;null;null;AGRICULTURAL PRACTICE;ARC360S;null;null
null;null;null;null;MANAGEMENT INFORMATION SYSTEMS;MIS360S;null;null
null;null;null;null;PRODUCTION SYSTEMS MANAGEMENT;PSM360S;null;null
null;null;null;null;RESEARCH METHODOLOGY;RMD350S;null;null
null;null;EXTENDED DIPLOMA IN AGRICULTURAL MANAGEMENT;1;EXTENDED AGRICULTURAL HUMAN RESOURCE MNGT;AHR160X;null;null
null;null;null;null;EXTENDED AGRICULTURAL MARKETING MANAGEMENT 1B;AMM160X;null;null
null;null;null;null;EXTENDED AGRICULTURAL OPERATIONS MNGT 1B;AOM160X;null;null
null;null;null;null;EXTENDED AGRICULTURAL SOIL SCIENCE 1B;ASC160X;null;null
null;null;null;null;EXTENDED LIVESTOCK PRODUCTION 1;LSP150X;null;null
null;null;null;null;AGRICULTURAL CALCULATIONS;ACL150S;null;null
null;null;null;null;AGRICULTURAL MARKETING MANAGEMENT 1A;AMM150S;null;null
null;null;null;null;AGRICULTURAL OPERATIONS MANAGEMENT 1A;ASC150S);null;null
null;null;null;null;PLANT PRODUCTION 1;PPO150S;null;null
null;null;null;null;AGRICULTURAL HUMAN RESOURCE MANAGEMENT;AHR160S;null;null
null;null;null;null;AGRICULTURAL MARKETING MANAGEMENT 1B;AMM160S;null;null
null;null;null;null;AGRICULTURAL OPERATIONS MANAGEMENT 1B;AOM160S;null;null
null;null;null;null;AGRICULTURAL SOIL SCIENCE 1B;ASC160S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 1;LSP150S;null;null
null;null;null;2;AGRICULTURAL LAW;AGL260S;null;null
null;null;null;null;AGRICULTURAL PRODUCTION MANAGEMENT;AGR260S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2A;LSP260S;null;null
null;null;null;null;PLANT PRODUCTION 2A;PPO260S;null;null
null;null;null;null;AGRICULTURAL ENGINEERING;AEG250S;null;null
null;null;null;null;AGRICULTURAL MARKETING MANAGEMENT 2;AMM260S;null;null
null;null;null;null;LIVESTOCK PRODUCTION 2B;LSP261S;null;null
null;null;null;null;PASTURE SCIENCE;PAF250S;null;null
null;null;null;null;PLANT PRODUCTION 2B;PPO261S;null;null
null;null;null;3;AGRICULTURAL ENVIRONMENT;AGE360S;null;null
null;null;null;null;AGRICULTURAL LABOUR PRACTICE;ALP360S;null;null
null;null;null;null;AGRICULTURAL PRACTICE;ARC360S;null;null
null;null;null;null;MANAGEMENT INFORMATION SYSTEMS;MIS360S;null;null
null;null;null;null;PRODUCTION SYSTEMS MANAGEMENT;PSM360S;null;null
null;null;null;null;RESEARCH METHODOLOGY;RMD350S;null;null
null;null;DIPLOMA IN BIOTECHNOLOGY;1;BIOTECHNOLOGY 1: INTRODUCTION;BIO150S;null;null
null;null;null;null;CHEMISTRY 1;CHI150S;null;null
null;null;null;null;MATHEMATICS;WIS150S;null;null
null;null;null;null;PHYSICS FOR BIOLOGY;PHB150S;null;null
