University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
Central University of Technology;Faculty of Health and Environmental Science;Agricultural Management;1;Agricultural Management 1;AMN115C;null;null
null;null;null;null;Plant Production 1;PPR115C;null;null
null;null;null;null;Animal Production 1;APR115C;null;null
null;null;null;null;Computer Skills;COM115C;null;null
null;null;null;null;Agricultural Soil Science 1;SSC115C;null;null
null;null;null;null;Pasture Science 1;PAS115C;null;null
null;null;null;null;English Proficiency;PRE1A;null;null
null;null;null;null;English Proficiency;PRE2B;null;null
null;null;null;null;Agricultural Management 2;AMN126C;null;null
null;null;null;null;Plant Production 2;PPR126C;null;null
null;null;null;null;Animal Production 2;APR126C;null;null
null;null;null;null;Computer Applications 2;CAP125C;null;null
null;null;null;null;Agricultural Production Techniques;APT126C;null;null
null;null;null;null;Soil Classification 2;SCL125C;null;null
null;null;null;null;null;null;null;null
null;null;null;2;Agricultural Production Management 2;APM206W;null;null
null;null;null;null;Agricultural Production Techniques 2;APT206W;null;null
null;null;null;null;Agricultural Management: Work-Integrated Learning;LBB206W;null;null
null;null;null;null;null;null;null;null
null;null;null;3;Agricultural Management 3;AMN307C;null;null
null;null;null;null;Agricultural Engineering 1;ENG307C;null;null
null;null;null;null;Agricultural Law 3;ALW307C;null;null
null;null;null;null;Human Resrource Management: Agriculture 1;PBL307C;null;null
null;null;null;null;Plant Production 3;PPR307C*;null;null
null;null;null;null;Animal Production 3;APR3O7C*;null;null
null;null;null;null;null;null;null;null
null;null;Somatology;1;Academic Literacy and Communication Studies;LCS5011;null;null
null;null;null;null;Aesthetic Practices I;AEP115E;null;null
null;null;null;null;Anatomy & Physiology I;ANP115E;null;null
null;null;null;null;Basic Digital Literacy;DLC5011;null;null
null;null;null;null;Business Management I;BUS115E;null;null
null;null;null;null;Microbial Hygiene I;HYG115E;null;null
null;null;null;null;Numeracy;NMR5012;null;null
null;null;null;null;Science I;SCI115E;null;null
null;null;null;null;Somatic Therapy Body I;SOB115E;null;null
null;null;null;null;Somatic Therapy Face I;SOF115E;null;null
null;null;null;null;Personal Information Management;PIM5011;null;null
null;null;null;null;null;null;null;null
null;null;null;null;Academic Literacy and Communication Studies;LCS5012;null;null
null;null;null;null;Aesthetic Practices I;AEP125E;null;null
null;null;null;null;Anatomy & Physiology I;ANP125E;null;null
null;null;null;null;Basic Digital Literacy;null;null;null
null;null;null;null;Business Management I;null;null;null
null;null;null;null;Microbial Hygiene I;HYG125E;null;null
null;null;null;null;Numeracy;NMR5012;null;null
null;null;null;null;Science I;SCI125E;null;null
null;null;null;null;Somatic Therapy Body I;SOB125E;null;null
null;null;null;null;Somatic Therapy Face I;SOF125E;null;null
null;null;null;null;Personal Information Management;null;null;null
null;null;null;null;null;null;null;null
null;null;null;2;Aesthetic Practices II;AEP216E;null;null
null;null;null;null;Anatomy & Physiology II;ANP216E;null;null
null;null;null;null;Business Management II;BUS216E;null;null
null;null;null;null;Complimentary Therapies I;CAR216E;null;null
null;null;null;null;Science II;SCI216E;null;null
null;null;null;null;Somatic Therapy Body II;SOB216E;null;null
null;null;null;null;Somatic Therapy Face II;SOF216E;null;null
null;null;null;null;Socio-psychology I;SOP116E;null;null
null;null;null;null;Somatology Work-integrated Learning I;SOM116W;null;null
null;null;null;null;null;null;null;null
null;null;null;null;Aesthetic Practices II;AEP226E;null;null
null;null;null;null;Anatomy & Physiology II;ANP226E;null;null
null;null;null;null;Business Management II;BUS226E;null;null
null;null;null;null;Complimentary Therapies I;CAR226E;null;null
null;null;null;null;Science II;SCI226E;null;null
null;null;null;null;Somatic Therapy Body II;SOB226E;null;null
null;null;null;null;Somatic Therapy Face II;SOF226E;null;null
null;null;null;null;Socio-psychology I;SOP126E;null;null
null;null;null;null;Somatology Work-integrated Learning I;SOM126W;null;null
null;null;null;null;null;null;null;null
null;null;null;3;Aesthetic Practices III;AEP316E;null;null
null;null;null;null;Basic Pharmacology I;BPH116E;null;null
null;null;null;null;Business Management III;BUS316E;null;null
null;null;null;null;Complimentary Therapies II;CAR316E;null;null
null;null;null;null;Somatic Therapy Body III;SOB316E;null;null
null;null;null;null;Somatic Therapy Face III;SOF316E;null;null
null;null;null;null;Somatology Work-integrated Learning II;SOM216W;null;null
