University;Faculty;Qualification;Year;Module code;Module ;SAQA Credits;Description
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MBIO000;Introduction to Life Sciences studies I;null;This course provides an introduction to various aspects of life sciences, including biochemistry, genetics, and cell biology.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;2;MBIB000;Introduction to Life Sciences studies II;null;This course builds upon the concepts introduced in MBIO000, exploring topics such as microbiology, immunology, and neurobiology.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MFMB010;Extended Curriculum Programme Year I for MBChB;null;This course is designed to provide additional support for students in the MBChB program who need extra help in foundational science courses.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MBIO011;"	Introduction to Biological Studies";null;This course is an in-depth introduction to biological concepts, including evolution, ecology, and genetics.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MZOO012;Animal Biology;null;This course focuses on the biology and physiology of animals, including their behavior, development, and anatomy.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;2;MZOA021;Biodiversity of Invertebrates;null;This course explores the diversity of invertebrates, including their classification, morphology, and ecology.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;2;MZOB022;Adaptive Biodiversity of Vertebrates;null;This course examines the adaptive evolution of vertebrates, including their anatomy, physiology, and behavior.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;3;MZOA031;Ecology;null;This course provides an in-depth study of ecological systems and the interactions between organisms and their environment.
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;3;MZOB032;Conservation Genetics;null;"	This course focuses on the application of genetic principles to the conservation and management of biodiversity."
Sefako Makgatho Health Sciences University;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MBIO011;BSc Dietetics I – Introduction to Biological Studies;null;"Introduction to Biological Studies
This course is designed to provide an introduction to key biological concepts and principles relevant to the study of dietetics. Topics covered may include cell biology, biochemistry, genetics, and metabolism, as well as their applications to the study of human nutrition."
null;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MBLA010;BSc Physiotherapy I – Introduction to Biological Studies;null;" Introduction to Biological Studies
This course is an introduction to the biological foundations of human movement and the study of physiotherapy. Topics covered may include anatomy, physiology, biomechanics, and kinesiology, as well as their applications to the practice of physiotherapy."
null;SCIENCE AND TECHNOLOGY;Bsc Biology;1;MBLB010;MBChB I – Introduction to Biological Studies;null;" Introduction to Biological Studies
This course provides a foundational understanding of biological concepts and principles that are essential to the study of medicine. Topics covered may include cell biology, genetics, biochemistry, and physiology, as well as their applications to the study and practice of medicine."
