University;Faculty;Qualification;Year;Modules;Module Code;SAQA Credits;Description
University of Witwatersrand;Faculty of Science;null;null;null;null;null;"Much of life can be understood in rational terms if expressed in the language of chemistry. It is an international language, a language
for all of time, and a language that explains where we came from, what we are and where the physical world will allow us to go” ~ Arthur
Kornberg (year).
Biochemistry studies the chemistry of life by investigating the structure-function relationships of life’s building blocks: proteins,
carbohydrates, fats, and nucleic acids. To understand macromolecular assemblages and their complex interactions, it is important to
understand the interactions at a fundamental level. Biochemistry embraces the fascinating worlds of advanced cell biology, molecular
biology, protein biochemistry, structural biology and drug design, biotechnology, enzymology, genetic engineering and
immunotechnology"
null;null;BSc Biochemistry & Cell Biology;1;Introductory Life Sciences I;BIOL1000A;null;null
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Complementary Life Sciences I;BIOL1006A;null;null
null;null;null;2;"Molecular and Cell Biology IIA:
Molecular Processes";MCBG2038A;null;null
null;null;null;null;"Molecular and Cell Biology IIB:
Cells and Organisms";MCBG2039A;null;null
null;null;null;null;"Molecular and Cell Biology IIC:
Applications";MCBG2037A;null;null
null;null;null;3;"Genetics and Developmental Biology III
";MCBG3034A;null;null
null;null;null;null;"Any other level III major depending
on other course set 
";N/A;null;null
null;null;BSc Genetics & Development Biology;1;Introductory Life Sciences I ;BIOL1000A;null;"This is the era of the gene. You can sequence it. You can research how it functions. You can investigate how genes are involved in
disease and how they can make cells cancerous! What’s more, with the help of the tools invented in 2013, now we can precisely edit
genomes. See how it is transforming biology, biotechnology, the pharmaceutical industry and medicine. Due to the recent discoveries
in the field of genetics, the biotech field is about to undergo an explosion like that of the IT field in the 1980’s (think Apple Computers
and Microsoft). You can be a part of this by joining MCB Genetics. Our exciting courses include: Gene Regulation in Eukaryotes,
Population Genetics, Chromosomes and Gene Maps and Advanced Developmental Biology"
null;null;null;null;Chemistry I;CHEM1012A;null;null
null;null;null;null;Auxiliary Mathematics I;MATH1041A;null;null
null;null;null;null;Complementary Life Sciences I;BIOL1006A;null;null
null;null;null;2;"Molecular and Cell Biology IIA:
Molecular Processes";MCBG2038A;null;null
