University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
Nelson Madela ;Science ;BACHELOR OF SCIENCE;1;Plant Cell Biology; BOTV101;7;null
null;null;null;1;Plant Structure;BOTV111;8;null
null;null;null;1;Chemistry General;CHGV101;15;null
null;null;null;1;Chemistry Inorganic;CHIV100;9;null
null;null;null;1;Chemistry Organic;CHOV102;6;null
null;null;null;1;Mathematics Special 101;MATS101;8;null
null;null;null;1;Mathematics Special 101;MATS102;8;null
null;null;null;1;Mechanics and Thermodynamics;FBBV101;7;null
null;null;null;1;Electricity, Optics and Atomics;FBBV102;7;null
null;null;null;1;Introduction to Economic and Settlement Geography;GEOV101;7;null
null;null;null;1;Introduction to Meteorology and Climatology;GENV101;8;null
null;null;null;1;Introduction to Geomorphology;GENV102;8;null
null;null;null;1;"Introduction to Geo-Information Science and 
Cartography";GISV102;8;null
null;null;null;2;Introduction to Earth; GGLV101;7;null
null;null;null;2;Mineralogy and Petrology;GGLV111;8;null
null;null;null;2;Physical Geology; GGLV102;7;null
null;null;null;2;Structural and Economic Geology;GGLV112;8;null
null;null;null;2;Mathematics 1A;MATT101;16;null
null;null;null;2;Mathematics 1b;MATT102;16;null
null;null;null;2;Graph Theory;MAPV101;8;null
null;null;null;2;Mathematical Modelling;MAPV111;8;null
null;null;null;2;Mechanics;MAPV102;8;null
null;null;null;2;Numerical Methods I;MAPV112;8;null
null;null;null;2;Programming Fundamentals;WRAV101;8;null
null;null;null;2;Computing Fundamentals;WRFV101;8;null
null;null;null;2;Animal Cell Biology and Histology;ZOOV101;7;null
null;null;null;2;Animal Diversity;ZOOV111;8;null
null;null;null;2;Principles of Animal Evolution;ZOOV102;8;null
null;null;null;3;Principles of Animal Evolution;ZOOV112;7;null
null;null;null;3;Plant and Algal Systematics;BOTV201;8;null
null;null;null;3;Plant Ecology;BOTV211;8;null
null;null;null;3;Marine Botany;BOTV202;8;null
null;null;null;3;Economic Botany and Plant Biotechnology;BOTV212;8;null
null;null;null;3;Introductory Biochemistry and Genetics; BCV201;20;null
null;null;null;3;Metabolism;BCV202;20;null
null;null;null;3;Introductory Microbiology and Control of ;BMV201;20;null
null;null;null;3;Medical Microbiology;BMV202;null;null
null;null;null;3;Chemistry Analytical;Chemistry Analytical;9;null
null;null;null;3;Chemistry Physical;CHPV200;12;null
null;null;null;3;Data Structures and Algorithms;WRAV201;8;null
null;null;null;3;Computer Architecture;WRCV201;6;null
null;null;null;3;nformation Systems;WRIV201;6;null
null;null;null;3;Web Systems ;Web Systems ;8;null
null;null;null;3;Pedo-Geomorphological Studies;GENV201;10;null
null;null;null;null;Economic and Development Geography;GEOV211;10;null
null;null;null;3;ntroduction to Cartography and GIS;GISV201;10;null
null;null;null;3;Sedimentary Petrology;GGLV212;10;null
null;null;null;3;Multivariable and Vector Calculus;MATT201;10;null
null;null;null;3;Linear Algebra; MATT212;10;null
null;null;null;3;Real Analysis;MATT202;10;null
null;null;null;3;Differential Equations;MAPV201;10;null
null;null;null;3;Numerical Methods 2;MAPV211;10;null
null;null;null;3;Linear Optimisation;MAPV222;10;null
null;null;null;null;null;null;null;null
null;null;null;null;null; ;null;null
null;null;null;null;null;null;null;null
null;null;null;null;null;null;null;null
null;null;null;null;null;null;null;null
null;null;null;null;null;null;null;null
null;null;null;null;null;null;null;null
null;null;null;null;null;null;null;null
null;null;"BACHELOR OF SCIENCE 
(BIOCHEMISTRY, CHEMISTRY, MICROBIOLOGY) 
(EXTENDED)";1;Science Academic Skills ;ALMX100;10;null
null;null;null;1; English for Science I;LEAX100;10;null
null;null;null;1;Pre-calculus A ;MAPX101;10;null
null;null;null;1;Pre-calculus B;MAPX102;10;null
null;null;null;1;Plant Cell Biology - Extended;BOTX101;7;null
null;null;null;1;Plant Structure - Extended;BOTX111;8;null
null;null;null;1;Plant Evolution and Systematics - Extended;BOTX102;7;null
null;null;null;1;"Plant Ecology and Environmental Botany -
Extended";"Plant Ecology and Environmental Botany -
Extended";8;null
null;null;null;1;Animal Cell Biology and Histology - Extended;ZOOX101;7;null
null;null;null;1;Animal Diversity - Extended;ZOOX111 ;8;null
null;null;null;1;Principles of Animal Evolution - Extended;ZOOX102;8;null
null;null;null;1;Animal Patterns in Time and Space - Extended;ZOOX112;7;null
null;null;null;2;Science Academic Skills II ;null;ALMX110;null
null;null;null;2;English for Science II;LEAX110;5;null
null;null;null;2;Mathematics Special 101 - Extended;MATX101;8;null
null;null;null;2;Mathematics Special 102 - Extended;MATX102;8;null
null;null;null;2;General Chemistry - Extended;CHGX101;15;null
null;null;null;2;Inorganic Chemistry - Extended;CHIX102;9;null
null;null;null;2;Organic Chemistry - Extended;CHOX102;6;null
null;null;null;2;Mechanics and Thermodynamics - Extended;FBBX101;7;null
null;null;null;2;Electricity, Optics and Atomics - Extended;FBBX102;7;null
null;null;null;2;Computing Fundamentals 1.1 - Extended;WRFX101;8;null
null;null;null;3;Introductory Biochemistry and Genetics ;BCV201;20;null
null;null;null;3;BCV201;BCV202;20;null
null;null;null;3;Plant and Algal Systematics;BOTV201;8;null
null;null;null;3;Plant Ecology;BOTV211;8;null
null;null;null;3;Marine Botany;BOTV202;8;null
null;null;null;3;Economic Botany and Plant Biotechnology ;BOTV202;8;null
null;null;null;3;Chemistry Analytical ;CHAV201;9;null
null;null;null;3;Chemistry Inorganic;Chemistry Inorganic;7;null
null;null;null;3;Chemistry Inorganic;Chemistry Inorganic;12;null
null;null;null;3;Chemistry Physical ;CHPV200;12;null
null;null;null;3;Introductory Microbiology and Control of Microorganis;BMV201;20;null
null;null;null;3;Medical Microbiology;BMV202;20;null
null;null;null;3;"Principles of Human Physiology and Control 
Systems ";BSPD211;20;null
null;null;null;3;Human Systemic Physiology;BSPD212;20;null
null;null;null;3;Comparative Vertebrate Anatomy;ZOOV201;10;null
null;null;null;3;Animal Physiology;ZOOV211;10;null
