University;Faculty;Qulification;Year;Modules;Module Code;SAQA credits;Description
Tshwane University of Technology;Science;ANIMAL SCIENCES;1;Communication for Academic Purposes;11P105X;10;You'll learn how to write in a formal tone and politely address your reader, whether it is a professor or peer. In addition to developing high-level communication skills, you might also learn about academia-specific topics, such as how to format a paper to Modern Language Association standards.
null;null;null;null;Animal Anatomy and Physiology I;AAA105D;24;It is a study of the structure and function of the human body including cells, tissues and organs of the following systems: integumentary, skeletal, muscular, nervous.
null;null;null;null;Computer Literacy;CPL105X;10;The course specifically looks at the Microsoft Office suite as the office automation application of choice and introduces you to Word, Excel and the Windows operating system in general to develop practical skills in the use of these software packages.
null;null;null;null;Information Literacy I;INI125D;2;Information Literacy I introduces students to the concept of strategic exploration of a research topic. This dedicated session of information literacy instruction helps students learn to match their information needs to appropriate source types and the search tools to find those sources.
null;null;null;null;Life Skills I;LFI125X;2;Demonstrate knowledge and understanding of the principles and concepts of emotional intelligence in respect of life and work relations.
null;null;null;null;Mathematics and Statistics I;MAS105X;12;This course provides students with decision theory, estimation, confidence intervals, and hypothesis testing. It introduces large sample theory, asymptotic efficiency of estimates, exponential families, and sequential analysis.
null;null;null;null;Science for Occupational Purpose I;SOR105D;12;It studies the things people do in their everyday lives and how those occupations influence and are influenced by health and well-being. Occupational science research includes exploration of the relationship between occupation and development, and how occupation changes over the life course.
null;null;null;null;Entrepreneurship I;ENT115D;12;This course explores all aspects of the creation of a new venture from idea through startup, growth, and beyond. Students will learn how to evaluate opportunities, develop strategies, create a business plan and acquire financing for a new venture.
null;null;null;null;Pasture Science I;PAE115D;12;This degree offers students the knowledge and skills needed to be competent in the livestock industry. Pasture Science refers to the ability to maximise production of animal products {meat, wool etc} without having a negative impact. The different institutions below offer bachelor in Pasture Science degrees.
null;null;null;null;Animal Breeding and Genetics I;ANT115D;12;An MScAgric in Animal breeding and genetics offers students the opportunity to investigate livestock populations on either quantitative or molecular level. It combines population genetics and genetic improvement of livestock to improve the efficiency of production in farm animals.
null;null;null;1;Beef Production II;BPA206D;24;In this course, you'll use a combination of readings, educational videos, and handouts to learn about the basics of beef cattle production.
null;null;null;null;Dairy Production II;DPA206D;24;Branch of agriculture that encompasses the breeding, raising, and utilization of dairy animals, primarily cows, for the production of milk and the various dairy products processed from it.
null;null;null;null;Poultry Production II;PDN206D;24;To provide both women and men with sufficient information and knowledge to allow them to farm poultry in a commercial and semi-commercial way
null;null;null;null;Small Stock Production II;SSA206D;24;This course is aimed at experienced as well as aspiring small stock farmers, covering both sheep and goats.
null;null;null;null;Pig Production II;VPA206D;24;"The pork production sequence can be divided into five phases; mating, gestating, farrowing, nursery and growing-finishing. Animals have specific needs at each of these stages, requiring appropriate husbandry and facilities to insure that they receive p roper attention and care."
null;null;null;3;WIL in Animal Production;WAP306D;120;It will equip students with focused knowledge and skills in primary agricultural animal production. During the course, students can specialise in small stock management (sheep or goat) or large stock management (cattle).
null;null;BACHELOR OF NURSING;1;General Anatomy I;GA1115P;12;"This course provides a comprehensive study of the anatomy and physiology of the human body. Topics include body organization; homeostasis; cytology; histology; and the integumentary, skeletal, muscular, nervous systems and special senses."
null;null;null;null;General Physiology I;GPY115P;12;Students are expected to learn the basic principles and concepts of human physiology both at the molecular and cellular levels, to learn to reason scientifically, and to understand and describe the cooperative function of multiple organ systems in the human body.
