University ;Faculty;Qualification;Year;Modules;Module code;SAQA Credits;Description
University of Fort Hare;Faculty of Science & Agriculture;Bachelor of Science In Agriculture ;1;Basic Chemistry;PAC 119;8;"To lay the extended in stoichiometry, structural chemistry, and solution
chemistry."
null;null;null;1;Physics;PHY 113,114 / 123,124;16;"This module is meant to be a service course in those programmes
which only need it as an ancillary module such as agriculture and
medicine. Students may be allowed to move vertically with the physics
major course provided s/he gets an average of 75%."
null;null;null;1;Biology;BIO 111 / 121;16;The module will introduce the learners to cell biology, plant anatomy, plant morphology, plant kingdom and ecology. The learners will learn the basic cell biology, which will lead them to the understanding of cell organelles and their functions. Such knowledge will lay a firm extended which the learners will require to understand cell structure and function, plant anatomy and morphology. The learners will also learn the anatomy of plant development in gymnosperm and angiosperm. They will acquire knowledge about environment, plant classification, and skeleton of the plant body, respiration and photosynthesis.
null;null;null;1;Elements of Ag Meteorology;AGC 111;null;They measure meteorological data such as temperature, rain, air humidity and are equipped with special sensors such as those for leaf wetness. The stations are suitable for acquiring atmospheric data from the ground (around 1 – 1.80 meters) mainly in the plains or hills.
null;null;null;1;Introduction to Crop Science;AGC 122;16;Crop science is the study of the world's major food, feed, turf, and fiber crops and their environment. It is a broad discipline encompassing breeding, genetics, production, and management.
null;null;null;1;Marketing of Agric Products;AGE 121;12;The Study of agricultural marketing comprises all the operations, and the agencies conducting them, involved in the movement of farm-produced foods, raw materials and their derivatives, such as textiles, from the farms to the final consumers, and the effects of such operations on farmers, middlemen and consumers.
null;null;null;1;Economics;ECO 111 / 121;16;Economics is the study of scarcity and its implications for the use of resources, production of goods and services, growth of production and welfare over time, and a great variety of other complex issues of vital concern to society.
null;null;null;1;Biology;BIO 111 / 121;16;"A biological module is a subnetwork entity composed of nodes that are more closely related among them than to the rest of the components in a network; in other words, it means that the nodes of such a module have a high clustering coefficient."
null;null;null;1;Statistics;STA 111 / 122;16;Topics discussed include displaying and describing data, the normal curve, regression, probability, statistical inference, confidence intervals, and hypothesis tests with applications in the real world. Students also have the opportunity to analyze data sets using technology.
null;null;null;2;Economics;ECO 211, 212 / 221, 222;32;Economics is the study of scarcity and its implications for the use of resources, production of goods and services, growth of production and welfare over time, and a great variety of other complex issues of vital concern to society.
null;null;null;2;Agric Production Economics;AGE 211;12;The course intends to give students a theoretical background and skills for the application of production and cost theory and operation research methods, in order to formulate, analyze, and solve simple economic problems dealing with food and natural resources.
null;null;null;2;Introduction to Animal Science;AGE 211;16;Animal science is simply the collective study of domestic animals. This includes every aspect, from conception to death, behavior to management, physiology to nutrition, and reproduction to product distribution.
null;null;null;2;Introduction to Seminar Writing;AGE 213;8;"Introduction - Set out the ""Crux"" of the Paper. Introduce and note why the topic is important. Briefly summarize necessary background information. ...
Background - Orient the Audience. Describe the genesis of the subject. ...
Analysis - Explain the Thesis. Large-Scale Organization: ...
Conclusion. Restate the thesis of the paper."
null;null;null;2;Life, Knowledge, Action;LKA 121;16;Life, Knowledge, Action (LKA) is a transdisciplinary teaching and learning experience based on a just, humanizing and collaborative pedagogy rooted of principles of curriculum decolonization, student dialogue, critical thinking, learning accountability, shared experiences, intercultural interactions and promotion
null;null;null;2;Farm Management;AGE 221;12;This field of study empowers the student with skills to do basic maintenance on the farm. It includes vehicle maintenance, basic welding techniques, building and electrical installations as well as health and safety procedures.
null;null;null;2;Farm Accounting;AGE 222;8;Discusses accounting and tax issues that are unique to farming clients. Topics covered include the capital/revenue distinction, development expenditure, sharemilking, wage issues, budgeting, and income tax and GST implications from the sale or purchase of a farm.
null;null;null;2;Introduction to Agric Extension;AGX 221;8;An agricultural extension service offers technical advice on agriculture to farmers, and also supplies them with the necessary inputs and services to support their agricultural production. It provides information to farmers and passes to the farmers new ideas developed by agricultural research stations.
null;null;null;2;Principles of Crop Production;AGC 222;12;Examines the principles of farm crop production, including classification, growth and management of corn, soybeans, alfalfa, barley, as well as other Midwest crops. Learners will explore soil preparation, plant physiology, planting dates, planting depths and seeding rates for various types of crops.
null;null;null;3;Economics;ECO 311, 313, 321, 324;16;Economics is the study of scarcity and its implications for the use of resources, production of goods and services, growth of production and welfare over time, and a great variety of other complex issues of vital concern to society.
null;null;null;3;Adv Farm Bus Management;AGE 311;12;Farm management, making and implementing of the decisions involved in organizing and operating a farm for maximum production and profit. Farm management draws on agricultural economics for information on prices, markets, agricultural policy, and economic institutions such as leasing and credit.
null;null;null;3;Agric Market Analysis;AGE 312;12;Agricultural marketing brings producers and consumers together through a series of activities and thus becomes an essential element of the economy. The scope of agricultural marketing is not only limited with the final agricultural produce. It also focuses supply of agricultural inputs (factors) to the farmers.
null;null;null;3;Analytical Techniques in Agric Economics;AGE 316;16;The main reason for studying research methods is that it provides a time-tested, proven means of producing new, reliable knowledge.
null;null;null;3;Elements of Crop Production;AGC 211;16;Plant physiology (photo- synthesis, respiration). Transpiration, water movement, mineral uptake and sugar translocation in the plant.
null;null;null;3;Agric Development Planning;AGE 321;12;Agricultural development is defined as the process that creates the conditions for the fulfilment of agricultural potential. Those conditions include the accumulation of knowledge and availability of technology as well as the allocation of inputs and output.
null;null;null;3;Seminar in Agric Economics;AGE 322;12;Agricultural Economics is the study of how societies use available resources to meet the needs of people. Agriculture represents the single largest use of the earth's resources—a major driving force in the world's economy.
null;null;null;3;Agric Policy;AGE 326;16;Policies are generated from laws of the country. Agricultural policies are largely on financing, production, marketing and provision of extension services all aimed at enhancing development and sustainability of agricultural sector.
null;null;null;3;Practical Agricultural Experience;AGF 301;6;The purpose of 'Practical Experience' is to provide you with opportunities to examine how properties and various agribusinesses are managed, to identify the factors which limit production and efficient resource management, to develop skills in the assessment of management and to relate components of the curriculum to agricultural practice.
null;null;null;4;Project;AGE 401;18;Projects module provides evidence and administration of contracts and projects. For some projects arrange a request for a subsidy
null;null;null;4;Seminars;AGE 402;16;Generally organized for either a single day or couple of days, the prime objective of seminars and workshops is to assemble the like-minded intellectuals and professionals to trade ideas, thoughts, and views related to a specific topic.
null;null;null;4;Research methods in Agric Econ;AGE 406;10;This course is designed to introduce students to principles of research methodology as it applies generally to agriculture and particularly to Economics and Extension. The course is also intended to equip the students for research.
null;null;null;4;Agric Resource Economics;AGE 408;10;Agricultural Economics is the study of how societies use available resources to meet the needs of people. Agriculture represents the single largest use of the earth's resources—a major driving force in the world's economy.
null;null;null;4;"Agric Marketing OR
Agric Development OR
Special Topics in Agric Economics";"AGE 404
AGE 405
AGE 409 ";10;The agricultural economist analyses aspects of financing, the allocation of inputs and resources, all in an attempt to maximise profits. Certain agricultural economists are involved in the marketing of food and fibre and the trading that is involved through different channels until it reaches the end user.
null;null;crop Scince;2;Elements of Agro-meteorology;AGC 111;16;This module is designed for agricultural consultants, agricultural practitioners, and anyone who wants to learn about weather, climate, climatic variability, and climate change, and the concept of Climate-Smart Agriculture (CSA). 
null;null;null;2;Introduction to Agricultural Economics;AGE 111;16;Agricultural Economics is the study of how societies use available resources to meet the needs of people. Agriculture represents the single largest use of the earth's resources—a major driving force in the world's economy.
null;null;null;2;Introduction to Soil Science;AGS 211;16;"It includes terminology used in soil science; soil and their physical, chemical and biological properties; soil formation; soils and spatial variability; soils inventory; examples of the use of soil information in crop production estimation and land use and management planning."
null;null;null;2;Introduction to Biochemistry;BCH 211;16;It considers the basic chemistry of physiological processes and discusses the structure and function of the major biochemical macromolecules (lipids, carbohydrates, proteins and nucleic acids) in biology. The unit also provides an introduction to metabolic and cellular/molecular biology.
null;null;null;2;Introduction to Microbiology;MIC 211;16;This course introduces the basic principles of microbiology examining the microbes that inhabit our planet and their effect on the biosphere. Introduction to Microbiology explores this impact through the lens of all areas of microbiology.
null;null;null;2;Introduction to Crop Science;AGC 122;16;Crop science is the study of the world's major food, feed, turf, and fiber crops and their environment. It is a broad discipline encompassing breeding, genetics, production, and management.
null;null;null;2;Principles of Crop Production;AGC 222;12;Examines the principles of farm crop production, including classification, growth and management of corn, soybeans, alfalfa, barley, as well as other Midwest crops. Learners will explore soil preparation, plant physiology, planting dates, planting depths and seeding rates for various types of crops.
null;null;null;2;Farm Management;AGE 221;12;This field of study empowers the student with skills to do basic maintenance on the farm. It includes vehicle maintenance, basic welding techniques, building and electrical installations as well as health and safety procedures.
null;null;null;2;Introduction to Agric Engineering;AGG 221;16;Agricultural engineering is the application of engineering principles to any process associated with producing agriculturally based goods and management of our natural resources.
null;null;null;2;Pedology;AGS 221;12;Pedology is a science that studies all aspects of soils, including their physical and chemical characteristics, the involvement of organisms in soil production and character, the description and mapping of soil units, and the genesis and development of soils.
null;null;null;3;Agricultural Biometry;AGB 312;16;The module aims at reviewing and equipping students with the basic statistical tools needed for planning, execution, analysis and interpretation of data.
null;null;null;3;Water Relations;AGC 311;12;Plant water relation is another important attribute that gets regulated under variable light intensities to influence plant growth and development.
