University name;Faculty;Qualification;Year;Module name;Module code;SAQA Credits;Description
University of Johannesburg;Science;null;null;null;null;null;null
null;null;Bachelor of Science in Mathematical Sceinces;null;null;null;null;null
null;null;null;2;Actuarial Science ;ACS02A2;24;"• Describe how to use a generalised cash flow model to describe financial transactions.
• Describe how to take into account the time value of money using the concepts of compound
interest and discounting.
• Demonstrate a knowledge and understanding of real and money interest rates.
• Define and use the more important compound interest functions including annuities certain.
• Describe how a loan may be repaid by regular instalments of interest and capital.
• Show how discounted cash flow techniques can be used in investment project appraisal.
• Describe the investment and risk characteristics of the following types of asset available for
investment purposes: fixed interest government borrowings; fixed interest borrowing by other
bodies; index-linked government borrowings; shares and other equity-type finance; derivatives
• Analyse elementary compound interest problems.
• Calculate the delivery price and the value of a forward contract using arbitrage free pricing
methods.
• Show an understanding of the term structure of interest rates.
• Show an understanding of simple stochastic models for investment returns."
null;null;null;2;Actuarial Science ;ACS02B2;24;"• Life tables and their use in the deterministic determination of survival and death probabilities.
• Provide analytic formulae for the expectation of life.
• Understand the complexities of multiple decrements.
• Describe what is meant by stationary populations.
• Develop commutation functions for variable life annuities, premiums and reserves.
• Develop commutation functions for insurance payable at the moment of death, varying
insurance, and the calculation of premiums and reserves.
• Show an understanding of basic pension applications. "
null;null;null;3;Actuarial Science ;ACS03A3;30;"• Describe and use statistical distributions for risk modelling. This includes use of compound
distributions, expressing association between variables explicitly using copulas and extreme
value distributions to model the distribution of severity of loss
• Describe and apply the main concepts underlying the analysis of time series models.
Applications include random walk, autoregressive and cointegrated models as applied to
security prices and other economic variables.
• Describe and apply Markov chains and processes. Using this knowledge, the student will
analyse the random process by which a life passes from one state (alive) to another (dead).
• Describe and apply techniques of survival analysis. This includes deriving many results that are
the building blocks of actuarial work relating to human mortality, describing methods of
graduating mortality data and describing approaches to forecasting of future mortality rates
• Describe and apply basic principles of machine learning."
null;null;null;3;Actuarial Science ;ACS03B3;30;"• Describe, interpret and discuss mathematical techniques used to model and value cashflows
which are contingent on mortality and morbidity risks
• Define various assurance and annuity contracts
• Develop formulae for the means and variances of the payments under various assurance and
annuity contracts
• Define and use assurance and annuity contracts involving two lives
• Describe and illustrate methods of valuing cash flows that are contingent upon multiple transition
events
• Describe and use methods of projecting and valuing expected cash flows that are contingent
upon multiple decrement events
• Define the gross future loss under an insurance contract, and state the principle of equivalence
• Describe and calculate gross premiums and reserves of assurance and annuity contracts
• Define and calculate, for a single policy or a portfolio of policies, the death strain at risk, expected
death strain, actual death strain and mortality profit
• Project expected cash flows for whole life, endowment and term assurances, annuities, unitlinked contracts and conventional/unitised with profits contracts, incorporating multiple
decrement models where appropriate.
• Show how, for unit-linked contracts, non-unit reserves can be set up to ‘zeroise’ future negative
cash flows, using a profit test model."
null;null;null;1;Applied Mathematics;APM01A1;15;"• Identify the variables and parameters relevant to a real-life problem.
• Construct a mathematical model which relates these variables.
• Utilize the appropriate mathematical techniques in order to solve the resulting model.
• Interpret the results and relate these to the real-life problem."
null;null;null;1;Applied Mathematics;APM01B1;15;"• Identify all dynamical variables in a given mechanical system.
• Formulate the equations of motion in a given mechanical system.
• Solve these equations by analytical means."
null;null;null;2;Applied Mathematics;APM02A2;20;"• Understand and apply basic concepts concerning ODEs.
• Solve first-order Differential Equations (ODEs) and systems of ODEs at an appropriate level.
• Use transformation of variables.
• Study systems of differential equations using qualitative techniques.
• Understand and apply the basic concepts of mathematical modelling, using differential
equations, to a wide variety of fields at an appropriate level.
• Master the philosophy and language of the field."
null;null;null;2;Applied Mathematics;APM02B2;20;"• Appreciate the mathematical origin of the method of Numerical Analysis.
• Apply these methods in order to find numerical solutions for various mathematically formulated
problems.
• Understand that these methods are approximations and that errors are associated with solutions
found by using these methods.
• Understand the derivation of error formulas to use these formulas to find solutions of required
accuracy."
null;null;null;3;Applied Mathematics;APM03A3;30;"• Understand the Gauteaux derivative to find the Euler-Lagrange equation.
• Use the simplex method to solve optimization problems.
• Understand problems with constraints.
• Use the Hopfield Network, Kohonen Network and Back-Propogation Algorithm to solve
optimization problems.
• Apply the Euler Lagrange equation to find maxima/minima of functions.
• Apply variational calculus to real life problems through computational techniques."
null;null;null;3;Applied Mathematics;APM03B3;30;"• Understand the concept of multi-linear algebra and product spaces.
• Use multi-linear algebra and the Kronecker product in physics and quantum groups.
• Apply software packages to problems in science."
null;null;null;1;Computer Science;CSC01A1;15;"• Analyse, Design and interpret an algorithm
• Program algorithms in an object oriented language such as C++.
• Use a computer to solve programming problems.
• Demonstrate computer programs in C++."
null;null;null;1;Computer Science;CSC01B1;15;"• Distinguish between classes and objects.
• Explain object-oriented principles.
• Apply object-oriented principles during the development of programs.
• Explain the role of graphic interfaces, events, processes and threads.
• Develop programs that implement graphic user interfaces, events, processes and threads.
• Explain the principles of distributed processing."
null;null;null;2;Computer Science;CSC02A2;20;"• Distinguish between classes and objects.
• Explain object-oriented principles.
• Apply object-oriented principles during the development of programs.
• Explain the role of graphic interfaces, events, processes and threads.
• Develop programs that implement graphic user interfaces, events, processes and threads.
• Explain the principles of distributed processing."
null;null;null;2;Computer Science;CSC02B2;20;"• Describe ISO and Internet protocols.
• Evaluate ISO and Internet protocols against each other.
• Use protocol specifications to establish the design and functioning of protocols not discussed
in the lectures.
• Apply principles of network protocol design
• Explain how data, voice and video signals are transmitted over a computer network.
• Describe components of computer networks.
• Analyse various types of computer network topologies.
• Develop object-oriented Java programs to transmit messages between workstations on a
computer network"
null;null;null;1;Informatics;IFM100;12;"• Solve programming problems using a computer.
• Analyse, design and program algorithms.
• Use control structures in algorithms and computer programs.
• Demonstrate the use of arrays and records in computer programs.
• Demonstrate computer programs."
null;null;null;1;Informatics;IFM01A1;15;"• Solve programming problems using a computer.
• Analyse, design and program algorithms.
• Use control structures in algorithms and computer programs.
• Demonstrate the use of arrays and records in computer programs.
• Demonstrate computer programs"
null;null;null;1;Informatics;IFM01B1;15;"• Describe abstract data and internal data types.
• Explain external data types.
• Explain and compare the object-oriented programming paradigm and the component approach
to program development.
• Describe object-oriented program components and their existing relationships with other
components.
• Develop object-oriented programs in a computer language such as Visual Basic to design and
implement internal and external data types.
• Explain introductory concepts concerning social and professional issues in Information
Technology.
• Discuss select applications in Informatics."
