University ;Faculty;Qulification ;Year;Modules;Module Code;SAQA credits;Description 
UNISA;Faculty of Agriculture and Environmental Sciences;Bachelor of Consumer Science;1;Bachelor of Consumer Science Fashion Retail Management;98005 - FAR;7;N/A
null;null;Bachelor of Consumer Science;1;"Bachelor of Consumer Science Fashion Small-Business Management
";98005 - FSB;7;N/A
null;null;Bachelor of Consumer Science;1;"Bachelor of Consumer Science Food Service Management (98005 - FSM)
";98005 - FSM;7;N/A
null;null;Bachelor of Consumer Science;1;"Bachelor of Consumer Science Food and Clothing (98005 - FCL)
";98005 - FCL;7;N/A
null;null;Bachelor of Consumer Science;1;"Bachelor of Consumer Science Food and Nutrition (98005 - FNU)
";98005 - FNU;7;N/A
null;null;Bachelor of Consumer Science;1;"Bachelor of Consumer Science Hospitality Management (98005 - HOM)
";98005 - HOM;7;N/A
null;null;Bachelor of Science in Environmental Management;1;"Bachelor of Science in Environmental Management Botany (98052 - EBO)
";98052 - EBO;7;N/A
null;null;Bachelor of Science in Environmental Management;1;"Bachelor of Science in Environmental Management Chemistry (98052 - ECH)
";98052 - ECH;7;N/A
null;null;Bachelor of Science in Environmental Management;1;"Bachelor of Science in Environmental Management Zoology (98052 - EZO)
";98052 - EZO;7;N/A
null;null;Bachelor of Science in Life Sciences;1;"Bachelor of Science in Life Sciences Biochemistry (or Physiology or Microbiology) with Business Management (98053 - BBM)
";98053 - BBM;7;N/A
null;null;Bachelor of Science in Life Sciences;1;"Bachelor of Science in Life Sciences Biochemistry and Botany (98053 - BAB)
";98053 - BAB;7;N/A
null;null;Bachelor of Science in Life Sciences;1;"Bachelor of Science in Life Sciences Biochemistry and Microbiology (98053 - BAM)
";98053 - BAM;7;N/A
null;null;Bachelor of Science in Life Sciences;1;"Bachelor of Science in Life Sciences Biochemistry and Physiology (98053 - BAP)
";98053 - BAP;7;N/A
null;null;Bachelor of Science in Life Sciences;1;"Bachelor of Science in Life Sciences Biochemistry and Zoology (98053 - BAZ)
";98053 - BAZ;7;N/A
null;null;Bachelor of Science in Life Sciences;1;"Bachelor of Science in Life Sciences Biomedical Sciences (98053 - BMI)
";98053 - BMI;7;N/A
