University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
University of cape town ;Science;ARCHAEOLOGY;1;THE HUMAN PLANET: PREHISTORY TO PRESENT;AGE1002S;18;"This aim of this course is to introduce the study of archaeology, and the study of human origins. 
Archaeology is defined as the study of the human past through material culture. Over the second 
semester, this course presents an overview of prehistory leading up to the modern day, as well as the 
broader climatic, geographic, ecological, social, and cultural contexts which made modern humans. 
In particular, it looks at the past through the lens of what people leave behind - the archaeological 
record. 
What you can expect to take away from this course: 
•A broad understanding of the timescales of human prehistory, and our interactions with the Earth 
System, from the Early Pleistocene through to the Historical period, and the emergence of present day 
societies (the ""Anthropocene""). 
•An understanding of current concepts in archaeological thought, and the complexities of relationships 
between archaeologists, science, and society today. 
•Familiarity with the foundational skills and terminology necessary for present-day archaeological 
research and investigation. 
This broad course is suitable for all undergraduate students in the sciences and humanities; but 
particularly for those wishing to major in Archaeology, Environmental & Geographical Science, or 
cognate subjects."
null;null;null;1;TOWARDS A DECOLONISED SCIENCE IN SOUTH AFRICA;AGE1005L;18;"This course addresses some key topics relevant to the decolonization of science in South Africa. 
Course objectives are as follows: (1) to contrast the science behind human diversity (e.g. skin colour 
variation, sex) with socially-constructed categories (e.g. race, gender binary); (2) to demonstrate how 
the history of racism and gender bias has limited the focus of scientific enquiry; (3) to highlight the 
importance of diversity and diverse voices in the production of scientific knowledge, (4) to show how 
African voices in particular have shaped and are continuing to shape the trajectory of science. The 
approach is a blended learning environment which combines online lectures, tutorials, tasks, and 
assessments. Guests both within UCT and from further afield will be brought in to supplement material 
through lectures, interviews and/or short case studies. 
Assessment: Class participation (workshops/tutorials and online discussions) 20%, online tests 20%, 
final exam 30%, final project 30%. NOTE: The allocation of 30% to the final exam breaks with the 
traditional 50% threshold. Given the format and intense interactive nature of the courses, the decision 
has been made that a large component of student assessment should be a course project which allows"
null;null;null;2;HUMAN EVOLUTION;AGE2011S;24;"Course outline: 
In AGE2011S we examine the record of primate and human evolution, showing how fossil skeletons 
and artefacts are interpreted in terms of human behaviour and evolutionary processes. We also 
consider genetic and other comparative evidence that are increasingly providing insight into the origin 
of our lineage. We answer questions such as: Why did our ancestors evolve in Africa? How did we 
evolve such large and complex brains? What advantage does bipedalism provide? When do humans 
begin to make tools? Why is human skin colour so variable? What makes humans unique? The 
syllabus for AGE2011S includes practical sessions for the study of primate and human, fossil and 
recent skeletal material and the artefacts associated with our ancestors. "
null;null;null;2;THE FIRST PEOPLE;AGE2012F;24;"All humans living today have a common African origin. The first humans were hunter-gatherers, as 
were their descendants. Indeed, our ancestors were hunter-gatherers for at least 99% of our 
evolutionary history, which means that our physical, psychological and social selves have been shaped 
by this way of life. We learn about the origin and evolution of our hunter-gatherer ancestors from 
genetic, fossil, archaeological and ethnographic evidence. Studies of Khoesan peoples of southern 
Africa have contributed significantly to our understanding of such societies. In this course we focus 
on the hunter-gatherer way of life over the past few hundreds of thousands of years. Specific topics 
covered include modern human origins, the Middle and Later Stone Age, ethnographic studies of 
Khoesan, the origins of pastoralism, coastal vs. arid environment adaptations, rock art and symbolic 
interpretation, genetics and biology, revisionism, and contemporary socio-politics and identity. In the 
weekly practical sessions, students will conduct hands-on, problem-solving exercises with 
archaeological materials. "
null;null;null;3;DIRECTED READING & RESEARCH ;AGE3006H;36;"In this course we explore the history of Africa’s people over the past 2000 years with special reference 
to southern Africa. Why are southern African populations so diverse? What lies behind the linguistic 
map that we see today? What social, technological and palaeoenvironmental systems shaped the 
evolution of societies? Did Africa have any civilisations? Who did Africa interact with? We discuss 
the archaeological record of artefacts, settlement systems, food waste, environmental contexts and 
human skeletons. We deploy historical, material science, molecular science, anthropological and 
palaeoclimatic techniques to explore this rich and diverse heritage of the last two thousand years. "
null;null;null;3;THE ROOTS OF RECENT AFRICAN IDENTITIES;AGE3011F;36;"In this course we explore the history of Africa’s people over the past 2000 years with special reference 
to southern Africa. Why are southern African populations so diverse? What lies behind the linguistic 
map that we see today? What social, technological and palaeoenvironmental systems shaped the 
evolution of societies? Did Africa have any civilisations? Who did Africa interact with? We discuss 
the archaeological record of artefacts, settlement systems, food waste, environmental contexts and 
human skeletons. We deploy historical, material science, molecular science, anthropological and 
palaeoclimatic techniques to explore this rich and diverse heritage of the last two thousand years. "
null;null;null;3;GLOBAL DIASPORAS & THE ARCHAEOLOGY OF THE;AGE3012S ;36;"Over the last thousand years, southern Africa has been connected to the world in a number of ways. 
From the 16th century the European push to open trade routes to the east increasingly disrupted earlier 
interactions between the southern African interior and the wider Indian Ocean region that had been in 
place from the 1st millennium AD. The European diaspora into southern Africa created new orders of 
power, control and trade that had massive impacts on indigenous societies who were subjected to 
slavery, genocide and eventually apartheid. In this course we look at these interactions and 
transformations from both foreign and local viewpoints, in which the idea of frontier is a central theme. 
The focus is on archaeological evidence and the contribution it makes to understanding the texture of 
life on frontiers and the new identities that frontiers created. In doing this the relationship between 
archaeological evidence, written sources and oral history is critically addressed, particularly in the 
search for perspectives that address cultural change and continuity at the local scale. "
null;null;null;3;ARCHAEOLOGY IN PRACTICE;AGE3013H;36;"The course will run throughout the academic year. The lecture programme (campus and field) will be 
flexible and a schedule will be decided upon in consultation with participating students. The 
curriculum covers training in site location, excavation, field note taking, stratigraphic observation, site 
survey, use of GPS and total station, photography, rock art recording, processing of field observations, 
spread sheet use, preliminary conservation and accessioning of materials, preliminary analyses and 
report writing. "
null;null;null;null;null;null;null;null
null;null;DEPARTMENT OF ASTRONOMY;1;INTRODUCTION TO ASTRONOMY ;AST1000S;18;"The course introduces students to the subject of Astronomy and our place in the universe from the 
small scales of the Earth-Sun-Moon system to the large scales of distant galaxies. It aims to provide 
insight into how we study astrophysical objects via EM radiation and telescopes (theory) as well as 
providing a high-level overview of objects in the universe, moving outwards from our solar system, 
to stars and stellar remnants, our galaxy and others, dark matter and cosmology, and the study of the 
universe at the largest scales. The course is open to all interested students as well as providing a solid 
introduction to those wishing to continue in astrophysics"
null;null;null;2;ASTROPHYSICS ;AST2002H;24;"This course presents an introduction to the theoretical aspects of modern astrophysics. The key 
objective is to illustrate the application of physical laws in an astronomical context and to explain how 
we know what we do about the universe and its constituents. Subject matter broached includes: 
Celestial mechanics; radiation laws; blackbody radiation, Planck function and approximations; 
magnitudes; the hydrogen atom; stellar spectroscopy; stellar evolution and remnants; special"
null;null;null;2;ASTRONOMICAL TECHNIQUES ;AST2003H ;24;"This course combines a large practical component (radio and optical astronomy practicals) with 
theoretical background in astronomical techniques, instrumentation and data analysis. The techniques, 
instrumentation and data analysis section includes: Positional astronomy: time systems, spherical 
astronomy, co-ordinate systems and conversions, astrometry; Detection systems: interaction of 
radiation and matter, ultraviolet and optical detectors; Optics and telescope design; Multi-wavelength 
astronomy: infrared, ultraviolet, x-ray and gamma–ray astronomy, fundamentals of radio astronomy; 
Observational techniques: photometry and spectroscopy; Orthodox statistics: probability 
distributions, Chi-squared distribution, propagation of errors; Stochastic processes and noise: photon 
noise. "
null;null;null;3;STELLAR ASTROPHYSICS;AST3002F;36;"This course introduces fundamental concepts such as radiative transfer and opacity to explain the 
observed spectroscopic and photometric signatures of stars. Students will interpret the observed 
intrinsic properties of stars through a theoretical understanding of the energy production inside stars 
and the propagation of the electromagnetic radiation from the stellar core through its interior to the 
stellar surface, from where the radiation escapes unhindered. The life cycle of stars is considered in 
great detail, from the collapse of an interstellar gas cloud to the end products of stellar evolution: white 
dwarfs, neutron stars and black holes. This course includes an observational component in which the 
students use the modern teaching observatory on campus to derive fundamental properties of stars and 
stellar systems."
null;null;null;3;GALACTIC & EXTRAGALACTIC ASTROPHYSICS;AST3003S;36;"The aim of this course is to provide a broad introduction to galactic & extragalactic astrophysics and 
cosmology. Topics will include the Milky Way and normal galaxies, supermassive black holes, active 
galaxies, clusters of galaxies, and cosmology and the origin of structure in the universe. Current hot 
topics in the area are also discussed in lectures from time to time and students are encouraged to keep 
abreast of the latest developments. A further aim is to develop observing data reduction skills. Students 
will therefore participate in a fieldtrip to the South African Astronomical Observatory in Sutherland, 
where they will obtain their own spectroscopic data and will be taught how to do the data reduction 
and analysis. "
null;null;null;null;null;null;null;null
