University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;Nursing;1;Fundamentals of Nursing Science 1;MNSA011;24;null
null;null;null;null;Human Anatomy;MHAN011;12;null
null;null;null;null;English for Health Science 1;HEHS011;8;null
null;null;null;null;Chemistry;SSCH011;12;null
null;null;null;null;Introduction to Psychology;HPSY011;12;null
null;null;null;null;Fundamentals of Nursing Science 2;MNSA012;20;null
null;null;null;null;Human Anatomy 2;MHAN012;8;null
null;null;null;null;Biophysics 1C;SSPH012;12;null
null;null;null;null;English for Health Science 2;HEHS012;4;null
null;null;null;null;Cognitive and Health Psychology;HPSY012;12;null
null;null;null;null;null;null;null;null
null;null;null;2;Community Health Nursing ;MNSA021;16;null
null;null;null;null;General Nursing Science;MNSB021;20;null
null;null;null;null;Physiology for Health Science;SPIA021;16;null
null;null;null;null;Psychology for Nurses;HPCD021;12;null
null;null;null;null;Microbiology;MMCA021;12;null
null;null;null;null;Community Health Nursing ;MNSA022;8;null
null;null;null;null;General Nursing Science;MNSB022;16;null
null;null;null;null;Physiology for Health Science;SPIA022;16;null
null;null;null;null;Medical and Social Psychology;HPCD022;12;null
null;null;null;null;null;null;null;null
null;null;null;3;Community Health Nursing ;MNSA031;12;null
null;null;null;null;General Nursing Science;MNSC031;24;null
null;null;null;null;Midwifery;MNSB031;16;null
null;null;null;null;Psychiatric Nursing Science;MNSD031;8;null
null;null;null;null;Pharmacology;MPCD031;8;null
null;null;null;null;Community Health Nursing ;MNSA032;8;null
null;null;null;null;General Nursing Science;MNSC032;20;null
null;null;null;null;Midwifery;MNSB032;16;null
null;null;null;null;Psychiatric Nursing Science;MNSD032;8;null
null;null;null;null;Pharmacology;MPCD032;8;null
null;null;null;null;null;null;null;null
null;null;null;4;General Nursing Science and professional Practice;MNSB041;20;null
null;null;null;null;Midwifery;MNSA041;20;null
null;null;null;null;Psychiatric Nursing Science;MNSC041;20;null
null;null;null;null;Sociology;MNSD041;8;null
null;null;null;null;Nursing Administration and Clinical Teaching;MNSB042;24;null
