University;Faculty;Qualifications;Year;Modules;Module Code;SAQA Credits;Description
University Of Pretoria;Economic and Environmental Sciences;"BAdmin (Public Management and International
Relations)";1;Academic information management 111;AIM 111;null;"Find, evaluate, process, manage and present information resources for academic purposes using appropriate
technology"
null;null;null;null;Academic information management 121;AIM 121;null;"Apply effective search strategies in different technological environments. Demonstrate the ethical and fair use of
information resources. Integrate 21st-century communications into the management of academic information."
null;null;null;null;Academic orientation 107;UPO 107;null;"Part 1: Introduction to industrial and organisational psychology
This module is an introduction to the history, background and subfields of Psychology with specific emphasis on
Industrial and Organisational Psychology. The various schools of thought in psychology and its fields of
application are discussed within a meta-theoretical context. The basic principles of how psychological
knowledge, research and other methods are used to understand and handle human problems in their
environments is addressed. The module ends with the biological basis of behaviour which is addressed in order
to lay the foundation for part 2 – individual processes.
Part 2: Individual processes
This module is concerned with the individual processes that provide input into the work situation. The purpose of
this module is to increase one’s understanding of individuals and their contribution to society. Sensation and
perception, which follows from the biological basis of behaviour, has a look at the senses of the individual and
his perception in the work environment, considering aspects such as shape, depth, distance and colour
perceptions. Learning and cognition is then discussed as behavioural processes that are integrated into work
behaviour. We close off the module with a discussion on the continuous development of human beings across
theirs lifespan within the different domains of life."
null;null;null;null;Economics 110;EKN 110;null;"This module deals with the core principles of economics. A distinction between macroeconomics and
microeconomics is made. A discussion of the market system and circular flow of goods, services and money is
followed by a section dealing with microeconomic principles, including demand and supply analysis, consumer
behaviour and utility maximisation, production and the costs thereof, and the different market models and firm
behaviour. Labour market institutions and issues, wage determination, as well as income inequality and poverty
are also addressed. A section of money, banking, interest rates and monetary policy concludes the course."
null;null;null;null;Economics 120;EKN 120;null;"This module deals with the core principles of economics, especially macroeconomic measurement the private
and public sectors of the South African economy receive attention, while basic macroeconomic relationships and
the measurement of domestic output and national income are discussed. Aggregate demand and supply
analysis stands core to this course which is also used to introduce students to the analysis of economic growth,
unemployment and inflation. The microeconomics of government is addressed in a separate section, followed by
a section on international economics, focusing on international trade, exchange rates and the balance of
payments. The economics of developing countries and South Africa in the global economy conclude the course."
null;null;null;null;Public administration 112;PAD 112;null;"This module in public administration is designed specifically to assist students in understanding the role of public
administration in a modern state, the unique characteristics of public administration, the schools and
approaches in public administration and introducing the various generic administrative functions. The discipline
of public administration has developed rapidly and by implication, has changed and shifted its paradigm over
the years. The purpose of this module is to introduce public administration to the student as a field of study that
makes a significant contribution to the effective administration and management of government institutions."
null;null;null;null;Public administration 122;PAD 122;null;"This module in public administration will introduce the constitutional framework pertaining to public
administration. The South African system of government, the functions, role and powers of the executive,
legislative and judicial branches of government as well as the functioning of the three spheres of government
will be discussed. The module will enable the student to understand how and where public administration is
practiced"
null;null;null;null;Politics 101;PTO 101;null;"An introduction to the study of organised political society at national and international levels with specific
reference to political concepts, approaches and methods. The emphasis is on state and governance as
frameworks for analysis in light of the salient changes brought about at national and international levels by
globalisation. Attention is paid to the corresponding dynamics of regime development, performance and change
at national and international levels considering increasing challenges to national sovereignty from within and
without states in a context of a growing global agenda dealing with transnational issues and challenges, such as
the environment, human rights, development and humanitarian intervention."
null;null;null;null;Public resource management 110;PUF 110;null;"The nature and role of public policy and decision making. Theories and models for public policy-making,
implementation and analysis. Public policy design and policy decision making. Role players and stakeholders in
public policy-making , implementation and analysis."
null;null;null;null;German for beginners 104;DTS 104;null;"An intensive introductory study of the German language focusing on the acquisition of basic communication
skills, namely listening, reading, speaking and writing. It also offers a brief introduction to the culture of Germanspeaking countries. This module complies with the requirements for level A2 set by the “Common European
Framework of Reference for Languages”."
null;null;null;null;English 110;ENG 110;null;"This module introduces the study of literature by examining a number of texts representing different genres
(poetry, prose, drama). The texts studied here will be mainly from the pre-twentieth century era and may
include texts written in English from both Africa and other parts of the world. The aim of this module is to equip
students with the critical and analytical skills required for a perceptive reading of poetry, novels and plays."
null;null;null;null;English for specific purposes 118;ENG 118;null;"This module is intended to equip students with a thorough knowledge of English grammar and is particularly
useful for those interested in a career in teaching, editing, document design or other forms of language practice."
