University;Faculty;Qualification;Year;Module name;Module code;SAQA Credits;Description
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";1;diversity of life;BIO1541;null;" Course title: diversity of life.
Focuses on the diversity of life on Earth.
Introduces students to the scientific method and basic biological concepts.
Covers topics such as cell structure and function, genetics, evolution, and ecology.
Helps students develop skills in scientific inquiry, critical thinking, and data analysis.
 Includes laboratory exercises to reinforce concepts learned in lectures.
Encourages effective communication of scientific ideas and findings.
 Assessment may include assignments, quizzes, exams, and laboratory reports.
Typically, a prerequisite for more advanced courses in biology.
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";1;Ecology, Adaptation and Evolution ;BIO 1643;null;"Ecosystems: Study of how living and non-living things interact within an environment
Energy flow and nutrient cycling: How energy and nutrients move through ecosystems
Community analysis: Methods for studying groups of organisms in an ecosystem
Ecological hierarchy and sampling methodology: The organization of ecosystems and how to study them
Species relationships: The ways in which different species interact with one another in an ecosystem
 Latitude gradients: The effects of latitude on ecosystems
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";1;cell biology;BIO 1643;null;"
This course covers the following topics:
Organic chemistry and biochemistry
Carbohydrates, lipids, proteins, and nucleic acids
Chemical-physical principles of biochemical bonds
 Weak interactions in an aqueous solution
 Cytology and cell biology
Structure and features of eukaryotic cells
Techniques used in cytology
Prokaryotic cells
 Genetics, including DNA replication, transcription and translation, mitosis and meiosis, chromosome variation, sex determination and inheritance, and Mendelian genetics.
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";1;"•	Introductory Human Anatomy and Physiology";BIO1644;null;"Introduction to human Physiology and Anatomy:
Chemical basis of life
Introduction to cytology and cell physiology
Histology: skin and integument
Support and movement Integration and coordination
Reproduction
Processing and transportation
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";2;Ecology;BIO2542;null;"Population distribution and abundance: The patterns and numbers of individuals in a population
Population dynamics: Changes in populations over time, including birth rates, death rates, and migration
Population growth: The factors that influence population size
Life histories: The traits and behaviors that influence an organism's survival and reproduction
 Competition: The struggle for resources among individuals in a population
Predation: The relationship between predators and prey in ecosystems
Herbivory: The relationship between herbivores and plants in ecosystems
Parasitism: The relationship between parasites and their hosts in ecosystems
 Mutualism: The mutually beneficial relationship between two species in ecosystems
Energy flow and nutrient cycling in ecosystems: The transfer of energy and nutrients through different levels of an ecosystem
Biomes: Large-scale ecosystems defined by their climate, vegetation, and other factors
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";2;Principles of Genetics;ZOO 2544;null;"Genes and loci: The basic unit of inheritance and its location on a chromosome
Genetic markers and variation: Different types of genetic markers and sources of genetic variation within populations
DNA replication: The process by which DNA is copied before cell division
Mutation: The changes that can occur in DNA sequences
 Recombination: The process by which new combinations of genes are formed during sexual reproduction
Transcription: The process by which DNA is used to create RNA molecules
Protein synthesis (Translation): The process by which RNA is used to create proteins
Regulation of gene expression: The mechanisms by which genes are turned on or off in response to environmental cues
Genetic engineering: The manipulation of DNA sequences for practical purposes
Genetic structure: The distribution of genetic variation within and among populations
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";2;"Conservation Biology I
";BIO 2646;null;" The natural world: The living and non-living components of the environment and their interactions
Principles and concepts: Basic concepts and principles in ecology and conservation biology
 Human impacts: The effects of human activities on the natural world, including habitat destruction and fragmentation, pollution, and climate change
Habitat destruction and disturbance: The loss and degradation of natural habitats due to human activities
 Sustainability: The use of natural resources in a way that does not deplete them for future generations
History of conservation biology: The development of the field of conservation biology and its major milestones
Selecting protected areas: The process of choosing and designating protected areas for conservation purposes
 In situ and ex situ conservation issues: The challenges and benefits of conserving species in their natural habitats (in situ) and in captivity or other artificial environments (ex situ)
 The landscape mosaic: The patchwork of different habitats and land uses in a given landscape.
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";2; Animal Physiology;ZOO 2541;null;"Introduction to cell structure and function: The components of a cell, their functions and interactions
Specialized cell types: Cells that have specific functions and adaptations for their role in the body
Cell division: The process of cell replication and the regulation of cell growth and differentiation
Principles of cellular transport: How molecules move in and out of cells
Structure and function of tissues, organs and organ systems: The organization of cells into tissues and organs that work together in organ systems to perform specific functions
Nutrition and feeding: The process of obtaining and processing food for energy and growth
Structure and function of the respiratory system: How air is taken in, exchanged and transported in the body
"
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";2;Animal Phylogeny;ZOO2648;null;Introduction to evolutionary biology, the tree of life: classification and phylogeny, patterns of evolution, evolution in the fossil record, history of life on earth, biogeography, evolution of biodiversity. Major animal body plans
university of venda;science, engineering and agriculture;" BSc. : Bachelor of Science with Microbiology in combination with either Biochemistry or Botany
";3; Conservation Biology II;BIO3646;null;"The natural world; principals and concepts; human impacts, habitat destruction and disturbance; sustainability; history of conservation biology, selecting protected areas; in situ and ex situ conservation strategies; the landscape mosaic, managing for biodiversity, ecological restoration."
